epoch,,Buildings for communities,Hotels and similar buildings,Office buildings,Wholesale and retail buildings,"Buildings for cultural, recreational, educational and health purposes"
Before 1919,,1.088,9.470,8.572,7.017,9.275
1919 to 1944,,308,2.449,2.961,2.202,1.916
1945 to 1960,,517,3.986,4.277,3.915,3.058
1961 to 1970,,677,5.489,4.818,4.776,3.829
1971 to 1980,,713,7.118,5.672,5.433,4.567
1981 to 1990,,548,5.734,5.893,5.826,4.210
1991 to 2000,,450,3.141,5.188,5.247,3.743
2001 to 2010,,776,3.705,5.689,5.761,4.421
2011 and later,,634,3.129,3.991,3.837,3.759
Source: Building and housing census,,,,"– GWZ 2022, STATcube – Statistical data",,
,Bank of STATISTIK AUSTRIA,,,,,
