epoch,Community Buildings (m ²),Hotels and similar buildings (m ²),Office buildings (m ²),Wholesale and retail trade buildings (m ²),"Buildings for cultural, recreational, educational and health purposes (m ²)"
Before 1919,2.565.949,9.084.351,12.153.913,6.110.061,11.495.096
1919 to 1944,376.515,1.778.198,2.866.090,1.668.348,2.566.983
1945 to 1960,694.472,2.971.131,4.519.263,2.704.153,3.982.535
1961 to 1970,1.316.961,4.852.350,5.644.229,4.764.914,6.534.322
1971 to 1980,2.090.610,7.267.452,8.155.562,7.701.260,9.193.252
1981 to 1990,1.679.869,6.092.418,8.259.238,8.643.093,6.496.130
1991 to 2000,1.358.366,2.219.603,5.352.889,6.391.208,3.508.324
2001 to 2010,2.188.215,3.820.161,7.545.243,8.229.222,5.641.738
2011 and later,2.023.268,2.890.704,6.652.369,5.869.731,4.572.561
Source: Building and housing census,,,"– GWZ 2022, STATcube – Statistical data",,
