,epoch,,Transport and Communications Building (m ²),Industrial and Warehouse Buildings (m ²)
,Before 1919,,1.026.909,9.994.194
,1919 to 1944,,460.618,5.448.838
,1945 to 1960,,791.636,8.148.780
,1961 to 1970,,937.399,11.376.354
,1971 to 1980,,1.398.921,15.944.906
,1981 to 1990,,1.491.435,17.205.268
,1991 to 2000,,1.215.729,9.572.430
,2001 to 2010,,1.553.897,12.500.146
,2011 and later,,1.632.493,9.844.625
"Source: Buildings and housing census - GWZ 2022, STATcube - Statistical data",,,,
,,Bank of STATISTIK AUSTRIA,,
