epoch,DLG (m ²),SKG (m ²),Total NWG (m ²)
Before 1919,41.839.142,11.016.122,52.855.264
1919 to 1944,9.366.683,6.070.983,15.437.666
1945 to 1960,14.795.397,9.161.382,23.956.779
1961 to 1970,22.990.001,12.303.152,35.293.153
1971 to 1980,34.464.110,17.433.054,51.897.164
1981 to 1990,31.156.846,18.607.038,49.763.884
1991 to 2000,18.856.029,10.524.208,29.380.237
2001 to 2010,27.398.430,13.563.465,40.961.895
2011 and later,19.778.951,9.902.022,29.680.973
Source: Building and housing census,,"– GWZ 2022,",
,,,– Statistical database
by STATISTIK AUSTRIA,,STATcube,
