epoch,DLG (m ²),SKG (m ²),Total NWG (m ²),Total NWG (kum. m ²)
Before 1919,41.409.370,11.021.103,52.430.473,52.430.473
1919 to 1944,9.256.134,5.909.456,15.165.590,67.596.063
1945 to 1960,14.871.554,8.940.416,23.811.970,91.408.033
1961 to 1970,23.112.776,12.313.753,35.426.529,126.834.562
1971 to 1980,34.408.136,17.343.827,51.751.963,178.586.525
1981 to 1990,31.170.748,18.696.703,49.867.451,228.453.976
1991 to 2000,18.830.390,10.788.159,29.618.549,258.072.525
2001 to 2010,27.424.579,14.054.043,41.478.622,299.551.147
2011 to 2020,17.549.269,8.326.926,25.876.195,325.427.342
2021 and later,4.459.364,3.150.192,7.609.556,333.036.898
overall,222.492.320,110.544.578,333.036.898,-------------
