,year,Fossils (GWh),Biogenes (GWh),Renewal bare (GWh),District heating (GWh),Electricity (GWh),Total (GWh)
,1990,36.734,16.049,356,2.865,3.525,59.528
,1991,41.082,17.869,398,3.398,3.738,66.485
,1992,37.921,16.895,442,3.397,3.754,62.408
,1993,38.090,17.250,493,3.822,3.871,63.527
,1994,35.554,15.985,551,3.716,3.817,59.623
,1995,38.043,17.254,613,4.195,3.997,64.102
,1996,41.250,18.944,676,4.850,4.175,69.896
,1997,36.068,17.693,739,4.740,4.070,63.310
,1998,37.313,17.282,807,4.849,4.081,64.333
,1999,37.656,17.607,843,4.766,4.309,65.181
,2000,36.151,16.499,885,4.448,4.412,62.396
,2001,37.213,17.575,899,4.627,4.803,65.117
,2002,35.215,16.464,921,4.806,4.949,62.355
,2003,35.891,16.289,1.024,5.121,5.119,63.444
,2004,34.870,15.678,1.085,5.392,5.117,62.143
,2005,36.900,16.221,1.120,5.566,5.006,64.812
,2006,35.556,17.068,1.311,5.084,5.086,64.104
,2007,31.604,17.443,1.451,5.632,5.147,61.277
,2008,32.294,17.861,1.478,5.854,5.301,62.787
,2009,31.340,18.462,2.026,6.077,5.912,63.817
,2010,34.278,20.833,2.265,6.809,6.245,70.429
,2011,29.912,19.810,2.217,6.803,5.795,64.536
,2012,29.031,20.941,2.348,7.625,5.898,65.841
,2013,30.008,21.475,2.545,8.503,5.779,68.310
,2014,26.255,18.838,2.579,7.939,5.139,60.749
,2015,27.953,20.078,3.073,8.752,5.490,65.346
,2016,29.475,20.666,3.209,9.178,5.790,68.318
,2017,29.278,20.773,3.139,9.578,6.035,68.803
,2018,26.466,19.147,3.266,9.029,6.023,63.931
,2019,27.431,19.554,3.318,8.915,6.221,65.439
,2020,27.776,19.638,4.247,9.715,6.555,67.931
,2021,29.665,23.849,4.737,10.506,7.692,76.450
,2022,24.992,20.138,4.633,9.154,7.614,66.531
,2023,21.737,19.446,4.813,8.699,7.687,62.381
