year,Fossils (kt RÖE),Biogenes (kt RÖE),Renew bare (kt RÖE),District heating (ktoe),Electricity (ktoe),Total (ktoe)
1990,3.159,1.380,31,246,303,5.118
1991,3.532,1.536,34,292,321,5.717
1992,3.261,1.453,38,292,323,5.366
1993,3.275,1.483,42,329,333,5.462
1994,3.057,1.374,47,320,328,5.127
1995,3.271,1.484,53,361,344,5.512
1996,3.547,1.629,58,417,359,6.010
1997,3.101,1.521,64,408,350,5.444
1998,3.208,1.486,69,417,351,5.532
1999,3.238,1.514,73,410,370,5.605
2000,3.108,1.419,76,382,379,5.365
2001,3.200,1.511,77,398,413,5.599
2002,3.028,1.416,79,413,426,5.362
2003,3.086,1.401,88,440,440,5.455
2004,2.998,1.348,93,464,440,5.343
2005,3.173,1.395,96,479,430,5.573
2006,3.057,1.468,113,437,437,5.512
2007,2.717,1.500,125,484,443,5.269
2008,2.777,1.536,127,503,456,5.399
2009,2.695,1.587,174,523,508,5.487
2010,2.947,1.791,195,585,537,6.056
2011,2.572,1.703,191,585,498,5.549
2012,2.496,1.801,202,656,507,5.661
2013,2.580,1.846,219,731,497,5.874
2014,2.257,1.620,222,683,442,5.224
2015,2.404,1.726,264,753,472,5.619
2016,2.534,1.777,276,789,498,5.874
2017,2.517,1.786,270,824,519,5.916
2018,2.276,1.646,281,776,518,5.497
2019,2.359,1.681,285,767,535,5.627
2020,2.388,1.689,365,835,564,5.841
2021,2.551,2.051,407,903,661,6.574
2022,2.149,1.732,398,787,655,5.721
2023,1.869,1.672,414,748,661,5.364
