year,Fossils (GWh),building according to the energy balance and useful energy analysis of Statistik Austria (as of January 2025),Biogenes (GWh),Renewal bare (GWh),District heating (GWh),Electricity (GWh),Total (GWh)
1990,11.408,,1.462,280,3.702,2.424,19.276
1991,12.503,,1.565,314,4.409,2.559,21.350
1992,13.511,,1.481,348,4.134,2.497,21.971
1993,13.733,,1.521,389,4.559,2.574,22.776
1994,12.790,,1.437,434,4.464,2.609,21.733
1995,14.754,,1.529,483,4.934,2.624,24.325
1996,17.415,,1.543,533,6.716,2.933,29.140
1997,18.228,,1.577,582,5.582,3.031,29.001
1998,17.101,,1.440,636,5.948,3.083,28.209
1999,18.375,,2.172,664,6.687,3.303,31.201
2000,16.050,,2.163,698,6.728,3.347,28.985
2001,20.538,,2.373,708,7.240,3.548,34.408
2002,19.103,,2.263,726,6.977,3.627,32.696
2003,21.810,,2.514,807,7.599,3.962,36.692
2004,21.465,,2.841,855,8.204,4.168,37.532
2005,19.018,,2.272,883,8.005,4.666,34.843
2006,19.190,,2.678,920,8.697,4.775,36.259
2007,15.241,,2.810,1.019,8.065,4.799,31.935
2008,15.928,,2.777,1.330,9.036,4.903,33.975
2009,13.644,,2.858,1.078,9.640,4.554,31.774
2010,11.923,,4.249,1.524,10.000,3.573,31.268
2011,11.141,,3.889,1.772,9.948,3.565,30.315
2012,10.898,,3.868,1.966,10.051,3.666,30.450
2013,9.612,,3.548,2.038,9.462,3.658,28.319
2014,8.809,,3.231,2.283,8.484,3.603,26.410
2015,8.546,,3.056,2.070,8.641,4.369,26.682
2016,8.357,,2.929,2.188,9.103,4.334,26.911
2017,8.978,,3.346,2.618,9.394,4.460,28.796
2018,8.472,,3.172,2.817,8.919,4.522,27.902
2019,8.633,,3.061,3.111,9.039,4.461,28.305
2020,8.254,,3.089,2.559,8.475,4.151,26.528
2021,9.419,,3.470,2.372,9.618,4.304,29.183
2022,8.464,,3.382,3.105,8.845,4.322,28.118
2023,7.339,,3.065,3.786,8.603,4.074,26.866
