use,year,Fossils (kt RÖE),Buildings according to energy balance and useful energy analysis of Statistik Austria (as of January 2025),Biogenes (kt RÖE),Renew bare (kt RÖE),District heating (ktoe),Electricity (ktoe),Total (ktoe)
,1990,981,,126,24,318,208,1.657
,1991,1.075,,135,27,379,220,1.836
,1992,1.162,,127,30,355,215,1.889
,1993,1.181,,131,33,392,221,1.958
,1994,1.100,,124,37,384,224,1.869
,1995,1.269,,131,42,424,226,2.092
,1996,1.497,,133,46,577,252,2.506
,1997,1.567,,136,50,480,261,2.494
,1998,1.470,,124,55,511,265,2.426
,1999,1.580,,187,57,575,284,2.683
,2000,1.380,,186,60,578,288,2.492
,2001,1.766,,204,61,622,305,2.959
,2002,1.643,,195,62,600,312,2.811
,2003,1.875,,216,69,653,341,3.155
,2004,1.846,,244,74,705,358,3.227
,2005,1.635,,195,76,688,401,2.996
,2006,1.650,,230,79,748,411,3.118
,2007,1.311,,242,88,693,413,2.746
,2008,1.370,,239,114,777,422,2.921
,2009,1.173,,246,93,829,392,2.732
,2010,1.025,,365,131,860,307,2.689
,2011,958,,334,152,855,307,2.607
,2012,937,,333,169,864,315,2.618
,2013,827,,305,175,814,315,2.435
,2014,757,,278,196,729,310,2.271
,2015,735,,263,178,743,376,2.294
,2016,719,,252,188,783,373,2.314
,2017,772,,288,225,808,383,2.476
,2018,728,,273,242,767,389,2.399
,2019,742,,263,267,777,384,2.434
,2020,710,,266,220,729,357,2.281
,2021,810,,298,204,827,370,2.509
,2022,728,,291,267,761,372,2.418
,2023,631,,264,326,740,350,2.310
