,year,Total (GWh),Overall trend (GWh),GFA (m ²),RHEV (kWh/m ²a),RHEV Trend (kWh/m ²a)
,1990,50.768,52.677,412.289.083,"123,1","127,8"
,1991,56.763,52.779,419.021.965,"135,5","126,0"
,1992,53.103,52.882,425.754.848,"124,7","124,2"
,1993,53.924,52.984,432.487.731,"124,7","122,5"
,1994,50.458,53.086,439.220.614,"114,9","120,9"
,1995,54.239,53.189,445.953.496,"121,6","119,3"
,1996,59.175,53.291,452.686.379,"130,7","117,7"
,1997,53.362,53.393,459.419.262,"116,2","116,2"
,1998,54.145,53.495,466.152.145,"116,2","114,8"
,1999,54.744,53.598,472.885.027,"115,8","113,3"
,2000,52.190,53.700,479.617.910,"108,8","112,0"
,2001,54.325,53.802,487.722.593,"111,4","110,3"
,2002,51.896,53.904,495.827.276,"104,7","108,7"
,2003,52.506,54.007,503.931.959,"104,2","107,2"
,2004,51.257,54.109,512.036.642,"100,1","105,7"
,2005,54.170,54.211,520.141.325,"104,1","104,2"
,2006,52.505,54.314,528.246.008,"99,4","102,8"
,2007,50.132,54.416,536.350.691,"93,5","101,5"
,2008,52.082,54.518,544.455.374,"95,7","100,1"
,2009,52.913,54.620,552.560.057,"95,8","98,8"
,2010,59.485,54.723,560.664.740,"106,1","97,6"
,2011,53.450,54.825,569.126.131,"93,9","96,3"
,2012,54.889,54.927,577.587.521,"95,0","95,1"
,2013,57.675,55.030,586.048.912,"98,4","93,9"
,2014,49.666,55.132,594.510.303,"83,5","92,7"
,2015,54.414,55.234,602.971.693,"90,2","91,6"
,2016,57.335,55.336,611.433.084,"93,8","90,5"
,2017,58.162,55.439,619.894.474,"93,8","89,4"
,2018,53.729,55.541,628.355.865,"85,5","88,4"
,2019,55.014,55.643,636.817.256,"86,4","87,4"
,2020,56.754,55.745,645.278.646,"88,0","86,4"
,2021,64.872,55.848,653.740.037,"99,2","85,4"
,2022,56.027,55.950,662.201.428,"84,6","84,5"
,2023,52.274,56.052,670.662.818,"77,9","83,6"
