year,Total (GWh),Overall trend (GWh),GFA (m ²),WWEV (kWh/m ²a),WWEV Trend (kWh/m ²a)
1990,8.760,9.827,412.289.083,"21,2","23,8"
1991,9.723,9.869,419.021.965,"23,2","23,6"
1992,9.306,9.910,425.754.848,"21,9","23,3"
1993,9.603,9.951,432.487.731,"22,2","23,0"
1994,9.165,9.992,439.220.614,"20,9","22,7"
1995,9.863,10.033,445.953.496,"22,1","22,5"
1996,10.720,10.075,452.686.379,"23,7","22,3"
1997,9.948,10.116,459.419.262,"21,7","22,0"
1998,10.188,10.157,466.152.145,"21,9","21,8"
1999,10.437,10.198,472.885.027,"22,1","21,6"
2000,10.206,10.239,479.617.910,"21,3","21,3"
2001,10.792,10.281,487.722.593,"22,1","21,1"
2002,10.459,10.322,495.827.276,"21,1","20,8"
2003,10.938,10.363,503.931.959,"21,7","20,6"
2004,10.886,10.404,512.036.642,"21,3","20,3"
2005,10.642,10.445,520.141.325,"20,5","20,1"
2006,11.599,10.487,528.246.008,"22,0","19,9"
2007,11.145,10.528,536.350.691,"20,8","19,6"
2008,10.706,10.569,544.455.374,"19,7","19,4"
2009,10.903,10.610,552.560.057,"19,7","19,2"
2010,10.945,10.651,560.664.740,"19,5","19,0"
2011,11.086,10.692,569.126.131,"19,5","18,8"
2012,10.952,10.734,577.587.521,"19,0","18,6"
2013,10.636,10.775,586.048.912,"18,1","18,4"
2014,11.084,10.816,594.510.303,"18,6","18,2"
2015,10.932,10.857,602.971.693,"18,1","18,0"
2016,10.983,10.898,611.433.084,"18,0","17,8"
2017,10.641,10.940,619.894.474,"17,2","17,6"
2018,10.202,10.981,628.355.865,"16,2","17,5"
2019,10.425,11.022,636.817.256,"16,4","17,3"
2020,11.177,11.063,645.278.646,"17,3","17,1"
2021,11.578,11.104,653.740.037,"17,7","17,0"
2022,10.504,11.146,662.201.428,"15,9","16,8"
2023,10.107,11.187,670.662.818,"15,1","16,7"
