year,HEV Trend (GWh),GFA (m ²),RHEV (kWh/m ²a),WWEV (kWh/m ²a),HEV (kWh/m ²a)
1990,62.505,412.289.083,"127,8","23,8","151,6"
1991,62.648,419.021.965,"126,0","23,6","149,5"
1992,62.792,425.754.848,"124,2","23,3","147,5"
1993,62.935,432.487.731,"122,5","23,0","145,5"
1994,63.078,439.220.614,"120,9","22,7","143,6"
1995,63.222,445.953.496,"119,3","22,5","141,8"
1996,63.365,452.686.379,"117,7","22,3","140,0"
1997,63.509,459.419.262,"116,2","22,0","138,2"
1998,63.652,466.152.145,"114,8","21,8","136,5"
1999,63.796,472.885.027,"113,3","21,6","134,9"
2000,63.939,479.617.910,"112,0","21,3","133,3"
2001,64.083,487.722.593,"110,3","21,1","131,4"
2002,64.226,495.827.276,"108,7","20,8","129,5"
2003,64.370,503.931.959,"107,2","20,6","127,7"
2004,64.513,512.036.642,"105,7","20,3","126,0"
2005,64.657,520.141.325,"104,2","20,1","124,3"
2006,64.800,528.246.008,"102,8","19,9","122,7"
2007,64.944,536.350.691,"101,5","19,6","121,1"
2008,65.087,544.455.374,"100,1","19,4","119,5"
2009,65.230,552.560.057,"98,8","19,2","118,1"
2010,65.374,560.664.740,"97,6","19,0","116,6"
2011,65.517,569.126.131,"96,3","18,8","115,1"
2012,65.661,577.587.521,"95,1","18,6","113,7"
2013,65.804,586.048.912,"93,9","18,4","112,3"
2014,65.948,594.510.303,"92,7","18,2","110,9"
2015,66.091,602.971.693,"91,6","18,0","109,6"
2016,66.235,611.433.084,"90,5","17,8","108,3"
2017,66.378,619.894.474,"89,4","17,6","107,1"
2018,66.522,628.355.865,"88,4","17,5","105,9"
2019,66.665,636.817.256,"87,4","17,3","104,7"
2020,66.809,645.278.646,"86,4","17,1","103,5"
2021,66.952,653.740.037,"85,4","17,0","102,4"
2022,67.096,662.201.428,"84,5","16,8","101,3"
2023,67.239,670.662.818,"83,6","16,7","100,3"
