year,Fossils (GWh),Non-fossil (GWh)
1990,36.734,22.794
1991,41.082,25.403
1992,37.921,24.487
1993,38.090,25.436
1994,35.554,24.069
1995,38.043,26.059
1996,41.250,28.646
1997,36.068,27.241
1998,37.313,27.020
1999,37.656,27.525
2000,36.151,26.245
2001,37.213,27.904
2002,35.215,27.140
2003,35.891,27.552
2004,34.870,27.272
2005,36.900,27.912
2006,35.556,28.548
2007,31.604,29.673
2008,32.294,30.494
2009,31.340,32.477
2010,34.278,36.152
2011,29.912,34.625
2012,29.031,36.811
2013,30.008,38.302
2014,26.255,34.495
2015,27.953,37.393
2016,29.475,38.843
2017,29.278,39.525
2018,26.466,37.465
2019,27.431,38.008
2020,27.776,40.155
2021,29.665,46.785
2022,24.992,41.539
2023,21.737,40.645
