year,Fossils (GWh),Non- fossil (GWh)
1990,11.408,7.868
1991,12.503,8.846
1992,13.511,8.460
1993,13.733,9.042
1994,12.790,8.944
1995,14.754,9.571
1996,17.415,11.725
1997,18.228,10.773
1998,17.101,11.108
1999,18.375,12.826
2000,16.050,12.935
2001,20.538,13.870
2002,19.103,13.593
2003,21.810,14.882
2004,21.465,16.068
2005,19.018,15.825
2006,19.190,17.069
2007,15.241,16.693
2008,15.928,18.046
2009,13.644,18.130
2010,11.923,19.345
2011,11.141,19.174
2012,10.898,19.552
2013,9.612,18.706
2014,8.809,17.601
2015,8.546,18.136
2016,8.357,18.554
2017,8.978,19.818
2018,8.472,19.430
2019,8.633,19.671
2020,8.254,18.274
2021,9.419,19.764
2022,8.464,19.654
2023,7.339,19.527
