Building data,EFH,MFH,GWB,Total WG
Number of buildings (---),1.803.676,192.009,79.398,2.075.083
Number of apartments (---),2.095.917,1.051.832,1.503.174,4.650.923
Net base area (m ²),299.244.599,95.181.906,118.393.557,512.820.062
Gross base area (m ²),374.055.749,118.977.383,147.991.946,641.025.078
Number of apartments per,,,,
,"1,16","5,48","18,93","2,24"
building (---),,,,
Net base area per,,,,
,"142,8","90,5","78,8","110,3"
Apartment (m ²),,,,
Gross base area per,,,,
,"207,4","619,6","1.863,9","308,9"
Building (m ²),,,,
