year,WG (kt),NWG (kt),Buildings (kt),WG (kg CO2eq/m ²a),NWG (kg CO2eq/m ²a),Building (kg CO2eq/m ²a)
1990,10.605,2.313,12.918,"25,7","8,1","18,5"
1991,11.729,2.413,14.142,"28,0","8,3","20,0"
1992,10.752,2.839,13.591,"25,3","9,7","18,9"
1993,10.607,3.012,13.619,"24,5","10,2","18,7"
1994,9.858,2.493,12.351,"22,4","8,3","16,7"
1995,10.484,3.059,13.543,"23,5","10,1","18,1"
1996,11.247,3.222,14.469,"24,8","10,5","19,0"
1997,9.678,3.308,12.986,"21,1","10,6","16,8"
1998,9.907,3.109,13.016,"21,3","9,9","16,7"
1999,9.979,3.631,13.610,"21,1","11,4","17,2"
2000,9.588,2.817,12.406,"20,0","8,7","15,5"
2001,9.793,3.817,13.609,"20,1","11,6","16,7"
2002,9.231,3.650,12.881,"18,6","11,0","15,5"
2003,9.319,4.246,13.565,"18,5","12,6","16,1"
2004,9.031,3.997,13.027,"17,6","11,6","15,2"
2005,9.303,3.437,12.741,"17,9","9,9","14,7"
2006,8.975,3.629,12.604,"17,0","10,3","14,3"
2007,7.991,2.626,10.616,"14,9","7,3","11,9"
2008,8.144,2.783,10.927,"15,0","7,6","12,0"
2009,7.845,2.222,10.067,"14,2","6,0","10,9"
2010,8.578,1.675,10.252,"15,3","4,5","11,0"
2011,7.487,1.499,8.986,"13,2","4,0","9,5"
2012,7.238,1.399,8.637,"12,5","3,7","9,0"
2013,7.481,1.398,8.879,"12,8","3,7","9,2"
2014,6.556,1.255,7.811,"11,1","3,3","8,0"
2015,6.919,1.306,8.226,"11,5","3,4","8,3"
2016,7.224,1.232,8.457,"11,9","3,2","8,5"
2017,7.193,1.431,8.624,"11,7","3,6","8,5"
2018,6.500,1.374,7.873,"10,4","3,5","7,7"
2019,6.711,1.380,8.091,"10,6","3,5","7,8"
2020,6.785,1.301,8.086,"10,6","3,2","7,8"
2021,7.326,1.537,8.863,"11,2","3,8","8,4"
2022,6.154,1.224,7.378,"9,3","3,0","6,9"
