,year,WG (kt),NWG (kt),Total (kt),Changes rung (%),Share of total GHG (%) 16.3,Total GHG (kt)
,1990,10.605,2.313,12.918,---,,79.083
,1991,11.729,2.413,14.142,"9,5","17,1",82.746
,1992,10.752,2.839,13.591,"5,2","17,8",76.177
,1993,10.607,3.012,13.619,"5,4","17,8",76.551
,1994,9.858,2.493,12.351,"-4,4","16,1",76.759
,1995,10.484,3.059,13.543,"4,8","16,9",79.986
,1996,11.247,3.222,14.469,"12,0","17,4",83.145
,1997,9.678,3.308,12.986,"0,5","15,7",82.752
,1998,9.907,3.109,13.016,"0,8","15,9",82.046
,1999,9.979,3.631,13.610,"5,4","16,9",80.468
,2000,9.588,2.817,12.406,"-4,0","15,4",80.640
,2001,9.793,3.817,13.609,"5,3","16,1",84.524
,2002,9.231,3.650,12.881,"-0,3","14,9",86.279
,2003,9.319,4.246,13.565,"5,0","14,8",91.647
,2004,9.031,3.997,13.027,"0,8","14,2",91.443
,2005,9.303,3.437,12.741,"-1,4","13,8",92.605
,2006,8.975,3.629,12.604,"-2,4","14,0",90.193
,2007,7.991,2.626,10.616,"-17,8","12,1",87.430
,2008,8.144,2.783,10.927,"-15,4","12,6",86.841
,2009,7.845,2.222,10.067,"-22,1","12,5",80.223
,2010,8.578,1.675,10.252,"-20,6","12,1",84.793
,2011,7.487,1.499,8.986,"-30,4","10,9",82.607
,2012,7.238,1.399,8.637,"-33,1","10,8",79.889
,2013,7.481,1.398,8.879,"-31,3","11,1",80.310
,2014,6.556,1.255,7.811,"-39,5","10,2",76.721
,2015,6.919,1.306,8.226,"-36,3","10,4",78.935
,2016,7.224,1.232,8.457,"-34,5","10,6",79.863
,2017,7.193,1.431,8.624,"-33,2","10,5",82.195
,2018,6.500,1.374,7.873,"-39,1","10,0",78.903
,2019,6.711,1.380,8.091,"-37,4","10,1",80.058
,2020,6.785,1.301,8.086,"-37,4","10,9",74.030
,2021,7.326,1.537,8.863,"-31,4","11,5",77.360
,2022,6.154,1.224,7.378,"-42,9","10,1",72.844
