year,Population (cap),NWG (kg/cap),WG (kg/cap),Building (kg/cap),Verminde rung (%)
1990,7.677.850,1.381,301,1.683,---
1991,7.754.891,1.512,311,1.824,"8,4"
1992,7.840.709,1.371,362,1.733,"3,0"
1993,7.905.632,1.342,381,1.723,"2,4"
1994,7.936.118,1.242,314,1.556,"-7,5"
1995,7.948.278,1.319,385,1.704,"1,3"
1996,7.959.016,1.413,405,1.818,"8,0"
1997,7.968.041,1.215,415,1.630,"-3,1"
1998,7.976.789,1.242,390,1.632,"-3,0"
1999,7.992.323,1.249,454,1.703,"1,2"
2000,8.011.566,1.197,352,1.548,"-8,0"
2001,8.042.293,1.218,475,1.692,"0,6"
2002,8.082.121,1.142,452,1.594,"-5,3"
2003,8.118.245,1.148,523,1.671,"-0,7"
2004,8.169.441,1.105,489,1.595,"-5,2"
2005,8.225.278,1.131,418,1.549,"-7,9"
2006,8.267.948,1.086,439,1.524,"-9,4"
2007,8.295.189,963,317,1.280,"-23,9"
2008,8.321.541,979,334,1.313,"-22,0"
2009,8.341.483,941,266,1.207,"-28,3"
2010,8.361.069,1.026,200,1.226,"-27,1"
2011,8.388.534,893,179,1.071,"-36,3"
2012,8.426.311,859,166,1.025,"-39,1"
2013,8.477.230,883,165,1.047,"-37,8"
2014,8.543.932,767,147,914,"-45,7"
2015,8.629.519,802,151,953,"-43,3"
2016,8.739.806,827,141,968,"-42,5"
2017,8.795.073,818,163,981,"-41,7"
2018,8.837.707,735,155,891,"-47,1"
2019,8.877.637,756,155,911,"-45,8"
2020,8.916.845,761,146,907,"-46,1"
2021,8.951.520,818,172,990,"-41,2"
2022,9.052.856,680,135,815,"-51,6"
