‘biogenes’; ‘Near- and district heating’; and Building data New construction,EFH,‘Heat pump’ for reference buildings MFH ■■■■■■■■■■ ■■■■■■■■s ■■■!■■■,GWB ■■■■■■■,NWG (DLG) ■ ■ ■ ■ ■ ■ al ■■■■■■■■■■■ ■■■■ B B | B B B
L (m),"10,37","17,21","31,07","25,78"
B (m),"10,00","12,00","12,00","15,00"
n G (-),2,3,5,4
h G (m),"3,00","3,00","3,00","4,00"
l c (m),"1,38","1,98","2,74","2,98"
BGF kond (m ²),"207,40","619,56","1864,20","1546,80"
HWB NZEB (kWh/m ²a),"28,61","22,64","18,84","18,07"
WWWB (kWh/m ²a),"7,67","10,22","10,22","10,94"
RHEB Bio (kWh/m ²a),"39,64","27,44","22,83","21,90"
WWEB Bio (kWh/m ²a),"20,10","32,33","32,33","34,61"
HEB Bio (kWh/m ²a),"59,74","59,77","55,16","56,51"
RHEB FW (kWh/m ²a),"33,92","23,92","19,90","19,09"
WWEB FW (kWh/m ²a),"17,39","28,62","28,62","30,64"
HEB FW (kWh/m ²a),"51,31","52,53","48,52","49,73"
RHEB WP (kWh/m ²a),"9,24","5,78","4,81","4,62"
WWEB WP (kWh/m ²a),"6,42","14,93","14,93","15,98"
HEB WP (kWh/m ²a),"15,66","20,71","19,74","20,59"
Source: The energy expenditure figures used are according to OIB guideline 6 for,,,,
Fertility equipment has been identified.,,,,
