epoch,EFH,MFH,GWB,Total WG,Total WG (kum.)
Before 1919,257.786,188.662,280.006,726.454,726.454
1919 to 1944,139.373,96.795,85.413,321.581,1.048.035
1945 to 1960,221.976,113.262,133.436,468.674,1.516.709
1961 to 1970,268.217,118.681,216.553,603.451,2.120.160
1971 to 1980,315.891,96.069,226.887,638.847,2.759.007
1981 to 1990,291.091,106.875,120.945,518.911,3.277.918
1991 to 2000,223.774,127.709,114.291,465.774,3.743.692
2001 to 2010,226.865,116.122,122.452,465.439,4.209.131
2011 to 2020,150.944,87.657,203.191,441.792,4.650.923
2021 and 2022,36.944,18.994,71.262,127.200,4.778.123
overall,2.132.861,1.070.826,1.574.436,4.778.123,-------------
