epoch,EFH (m ²),MFH (m ²),GWB (m ²),Total WG (m ²),Total WG (kum. m ²)
Before 1919,42.423.888,22.320.873,25.923.611,90.668.371,90.668.371
1919 to 1944,19.373.948,9.291.406,6.286.668,34.952.021,125.620.393
1945 to 1960,32.167.375,10.744.100,10.534.679,53.446.154,179.066.546
1961 to 1970,41.089.000,12.260.453,18.341.489,71.690.941,250.757.488
1971 to 1980,52.892.495,11.073.460,21.533.633,85.499.588,336.257.075
1981 to 1990,51.773.379,12.148.203,12.110.426,76.032.008,412.289.083
1991 to 2000,42.611.511,13.728.961,10.988.355,67.328.828,479.617.910
2001 to 2010,51.890.725,14.642.248,14.513.858,81.046.830,560.664.740
2011 to 2020,39.833.429,12.767.680,27.759.229,80.360.338,641.025.078
2021 and 2022,9.301.950,2.698.155,9.176.245,21.176.350,662.201.428
overall,383.357.699,121.675.538,157.168.191,662.201.428,-------------
