,‘biogenes’; ‘Near- and district heating’ and ‘Heat pump’ (reference building from Table 3) Building data New construction,EFH ■■■,MFH ■■■■■■■■■ ' ■■■■■■■g ■■■!■■■,GWB ■■■■■■■,NWG (DLG) ■ ■ ■ ■ ■ ■ al ■■■■■■■■■■■ ■■■■ B B | B B B
,L (m),"10,37","17,21","31,07","25,78"
,B (m),"10,00","12,00","12,00","15,00"
,n G (-),2,3,5,4
,h G (m),"3,00","3,00","3,00","4,00"
,l c (m),"1,38","1,98","2,74","2,98"
,BGF kond (m ²),"207,40","619,56","1864,20","1546,80"
,HWB NZEB,"25,43","20,12","16,74","16,06"
,WWWB,"7,67","10,22","10,22","10,94"
,RHEB Bio (kWh/m ²a),"35,23","24,39","20,30","19,47"
,WWEB Bio (kWh/m ²a),"20,10","32,33","32,33","34,61"
,HEB Bio (kWh/m ²a),"55,34","56,72","52,63","54,08"
,RHEB FW (kWh/m ²a),"30,15","21,26","17,69","16,97"
,WWEB FW (kWh/m ²a),"17,39","28,62","28,62","30,64"
,HEB FW (kWh/m ²a),"47,54","49,88","46,31","47,61"
,RHEB WP (kWh/m ²a),"8,21","5,14","4,28","4,10"
,WWEB WP (kWh/m ²a),"6,42","14,93","14,93","15,98"
,HEB WP (kWh/m ²a),"14,63","20,07","19,20","20,08"
Source: Self-calculation,,,,,
