‘biogenes’; ‘Near- and district heating’; and Building data Major renovation,EFH ■■■,‘Heat pump’ (reference building from Table 3) MFH ■■■■■■■■■■ ■■■■■■■■s ■■■!■■■,GWB ■■■■■■■,NWG (DLG) ■ ■ ■ ■ ■ ■ al ■■■■■■■■■■■ ■■■■ B B | B B B
L (m),"10,37","17,21","31,07","25,78"
B (m),"10,00","12,00","12,00","15,00"
n G (-),2,3,5,4
h G (m),"3,00","3,00","3,00","4,00"
l c (m),"1,38","1,98","2,74","2,98"
BGF kond (m ²),"207,40","619,56","1864,20","1546,80"
HWB NZEB,"42,47","33,80","28,28","27,17"
WWWB,"7,67","10,22","10,22","10,94"
RHEB Bio (kWh/m ²a),"55,24","38,86","32,52","31,23"
WWEB Bio (kWh/m ²a),"20,10","32,36","32,36","34,64"
HEB Bio (kWh/m ²a),"75,34","71,22","64,87","65,87"
RHEB FW (kWh/m ²a),"47,57","34,07","28,51","27,39"
WWEB FW (kWh/m ²a),"17,36","28,60","28,60","30,62"
HEB FW (kWh/m ²a),"64,93","62,67","57,11","58,01"
RHEB WP (kWh/m ²a),"13,45","8,99","7,52","7,22"
WWEB WP (kWh/m ²a),"6,38","14,89","14,89","15,94"
HEB WP (kWh/m ²a),"19,83","23,88","22,41","23,17"
