,year,Geo thermie (TJ),Warmth (TJ),Solar heat (TJ),Reak. heat (TJ),District heating (TJ),Electricity (TJ),Total (TJ)
,1990,0,187,271,0,8.472,5.580,182.765
,1991,0,209,304,0,10.049,5.917,204.346
,1992,0,232,337,0,10.046,5.941,191.169
,1993,0,259,376,0,11.305,6.127,194.125
,1994,0,289,420,0,10.990,6.042,181.648
,1995,0,321,468,0,12.406,6.326,195.261
,1996,0,355,516,0,14.343,6.609,213.031
,1997,0,387,563,0,14.016,6.443,192.102
,1998,0,422,615,0,14.346,6.455,194.922
,1999,0,444,644,0,14.090,6.828,197.078
,2000,0,462,674,0,13.155,6.985,187.885
,2001,0,469,684,0,13.703,7.574,195.568
,2002,0,496,709,0,14.179,7.891,186.826
,2003,0,516,771,0,15.157,8.077,189.020
,2004,0,565,825,0,16.035,7.973,184.524
,2005,0,665,887,0,16.233,8.247,195.013
,2006,0,533,918,0,15.198,7.775,189.018
,2007,0,830,1.128,0,16.984,7.722,180.474
,2008,0,893,1.189,0,17.594,8.001,187.494
,2009,0,1.614,2.070,0,18.235,10.276,190.487
,2010,0,1.838,2.368,0,20.682,11.548,214.145
,2011,0,1.742,2.053,0,20.566,10.091,192.421
,2012,0,1.874,2.152,0,23.261,10.626,197.601
,2013,0,2.232,2.670,0,26.549,10.579,207.628
,2014,0,2.087,2.334,0,23.895,8.654,178.796
,2015,0,3.089,2.878,0,26.771,9.687,195.891
,2016,0,3.263,2.955,0,28.164,10.278,206.407
,2017,0,3.667,3.009,0,29.922,11.222,209.384
,2018,0,4.206,2.744,0,28.158,11.197,193.424
,2019,0,4.270,2.791,0,27.910,11.568,198.050
,2020,0,6.313,2.701,0,30.332,12.188,204.315
,2021,0,8.253,3.431,0,31.668,15.964,233.538
,2022,0,8.159,3.248,0,27.632,15.801,201.696
,2023,0,8.683,3.167,0,26.275,15.954,188.188
