year,Fossils f. (TJ),Fossils fl. (TJ),Fossils gf. (TJ),Bb. Fall- offs (TJ),Firewood (TJ),Biogenes f. (TJ),Biogene fl. (TJ),Biogenic gf. (TJ)
1990,2.188,9.570,4.521,0,5.328,154,0,0
1991,2.391,10.504,5.346,0,5.921,195,0,0
1992,2.061,9.684,5.184,0,5.588,208,0,0
1993,1.708,9.851,5.668,0,5.686,253,0,0
1994,1.521,9.204,5.400,0,5.263,245,0,0
1995,1.442,10.068,5.862,0,5.678,279,0,0
1996,1.367,11.175,6.411,0,6.223,315,0,0
1997,1.033,9.063,6.580,0,5.756,417,0,0
1998,907,9.504,6.952,0,5.596,499,0,0
1999,830,9.732,6.983,0,5.524,805,0,0
2000,750,9.670,6.478,0,5.132,900,0,0
2001,689,9.559,7.236,0,5.420,1.192,0,0
2002,550,9.134,6.780,0,4.869,1.158,0,0
2003,459,9.219,7.350,0,4.885,1.439,0,0
2004,439,8.970,7.211,0,4.848,1.381,0,0
2005,315,8.258,8.375,0,4.305,1.002,0,0
2006,312,8.365,8.867,0,5.719,1.590,0,0
2007,263,7.422,7.618,0,5.816,1.639,0,0
2008,212,6.446,7.323,0,5.096,1.660,0,1
2009,182,6.136,7.564,0,5.234,1.877,0,1
2010,147,5.796,7.258,0,5.356,2.130,0,1
2011,108,5.639,7.604,0,5.306,2.367,0,4
2012,69,4.724,7.509,0,5.233,2.667,0,5
2013,78,5.095,7.163,0,4.949,2.445,0,8
2014,85,4.960,7.509,0,5.053,2.884,0,15
2015,66,4.639,7.102,0,4.628,2.992,0,19
2016,40,4.408,7.225,0,4.207,2.855,0,27
2017,40,4.365,7.168,0,4.195,2.809,0,42
2018,29,3.882,6.624,0,3.822,2.687,0,45
2019,33,3.899,6.969,0,3.869,2.827,0,39
2020,40,4.002,7.091,0,3.875,2.865,0,36
2021,14,4.601,6.997,0,4.467,2.327,0,24
2022,12,3.942,5.798,0,3.563,2.274,0,24
2023,10,3.202,5.288,0,3.456,2.168,0,24
