year,Fossils f. (TJ),Fossils fl. (TJ),Fossils gf. (TJ),Bb. Fall- offs (TJ),Firewood (TJ),Biogenes f. (TJ),Biogene fl. (TJ),Biogenic gf. (TJ)
1990,832,13.845,5.566,1.099,1.131,593,7,0
1991,1.158,14.218,9.057,961,1.100,647,8,0
1992,834,14.346,14.150,684,1.000,615,8,0
1993,804,14.313,14.231,329,974,640,8,0
1994,756,12.888,12.551,511,930,633,8,0
1995,621,14.296,18.024,516,993,608,8,0
1996,624,20.204,19.338,550,904,537,7,0
1997,779,25.420,15.970,580,744,1.019,13,0
1998,619,22.291,16.565,610,414,994,13,0
1999,784,24.749,20.490,594,407,1.708,21,0
2000,934,15.969,19.314,550,291,2.109,27,0
2001,1.016,21.431,27.431,616,416,2.197,29,0
2002,720,22.477,24.466,606,404,2.167,25,0
2003,990,27.927,26.565,637,404,2.595,34,0
2004,741,21.560,31.742,514,450,2.948,44,0
2005,600,25.577,19.103,1.055,500,1.709,11,0
2006,437,25.413,20.416,708,485,2.266,42,0
2007,343,18.012,15.923,322,482,2.389,48,0
2008,209,20.108,17.263,53,486,2.065,47,3
2009,161,15.859,13.439,53,474,2.034,79,11
2010,180,8.824,14.159,59,514,2.538,83,15
2011,127,8.146,12.287,49,434,1.991,82,34
2012,3,5.721,13.433,0,154,1.527,17,73
2013,7,5.576,13.964,0,160,1.929,20,12
2014,1,5.663,11.683,0,110,1.646,38,17
2015,1,5.643,12.405,0,81,2.235,54,22
2016,0,5.237,11.773,0,80,1.706,39,26
2017,0,7.362,12.384,0,180,2.748,47,18
2018,0,6.350,11.719,0,163,2.878,45,22
2019,0,5.985,12.517,0,181,3.190,44,23
2020,0,5.756,11.995,0,176,3.095,44,21
2021,0,7.484,13.699,0,203,3.493,46,21
2022,0,6.332,10.491,0,157,2.746,45,14
2023,0,2.753,11.662,0,37,1.843,82,22
