,year,Geo thermie (TJ),Warmth (TJ),Solar heat (TJ),Reak. heat (TJ),District heating (TJ),Electricity (TJ),Total (TJ)
,1990,81,504,374,0,11.368,6.180,41.579
,1991,90,564,418,0,13.537,6.590,48.348
,1992,100,626,464,0,12.682,6.391,51.900
,1993,112,699,518,0,13.952,6.668,53.247
,1994,125,780,578,0,13.692,6.761,50.212
,1995,139,869,643,0,15.137,6.692,58.547
,1996,153,958,711,0,20.665,7.862,72.513
,1997,167,1.046,775,0,17.154,8.213,71.882
,1998,182,1.146,845,0,18.480,8.414,70.572
,1999,191,1.188,887,0,20.969,8.593,80.581
,2000,201,1.255,928,0,20.291,7.851,69.720
,2001,202,1.285,933,0,21.822,7.855,85.233
,2002,211,1.277,992,0,20.799,7.609,81.754
,2003,233,1.470,1.052,0,22.628,7.919,92.455
,2004,235,1.592,1.094,0,24.385,7.520,92.824
,2005,270,1.403,1.338,0,23.083,8.530,83.178
,2006,263,1.849,1.022,0,25.253,8.630,86.784
,2007,237,2.011,1.227,0,23.081,8.448,72.523
,2008,254,2.767,1.636,0,26.613,9.004,80.510
,2009,281,2.500,910,0,28.097,7.966,71.862
,2010,321,2.848,2.114,0,30.673,8.192,70.520
,2011,278,3.427,2.434,0,30.604,8.117,68.009
,2012,346,3.890,2.577,0,30.310,8.440,66.490
,2013,329,4.474,2.247,0,29.139,8.555,66.413
,2014,267,5.075,2.522,0,26.047,8.505,61.573
,2015,301,4.675,2.170,0,26.731,8.554,62.873
,2016,300,5.211,2.020,0,28.504,8.150,63.046
,2017,514,6.123,2.379,0,29.392,8.557,69.705
,2018,473,6.429,2.774,0,27.440,8.707,67.001
,2019,476,7.671,2.615,0,28.269,8.569,69.542
,2020,493,5.355,2.865,0,26.378,7.804,63.981
,2021,429,5.226,2.204,0,30.184,8.012,71.000
,2022,360,7.514,2.506,0,27.447,8.234,65.846
,2023,324,10.123,2.343,0,26.715,7.783,63.688
