year,Fossils f. (TJ),Fossils fl. (TJ),Fossils gf. (TJ),Bb. Fall- offs (TJ),Firewood (TJ),Biogenes f. (TJ),Biogene fl. (TJ),Biogenic gf. (TJ)
1990,526,2.874,290,0,2.245,224,48,0
1991,592,2.656,350,0,2.495,284,61,0
1992,532,2.533,342,0,2.354,292,63,0
1993,425,2.670,377,0,2.395,307,66,0
1994,371,1.945,359,0,2.218,294,63,0
1995,351,2.131,388,0,2.391,344,74,0
1996,331,2.404,436,0,2.623,396,85,0
1997,253,2.501,448,0,2.426,542,117,0
1998,219,2.657,485,0,2.352,652,141,0
1999,214,2.930,463,0,2.336,936,199,0
2000,183,2.586,428,0,2.162,1.024,221,0
2001,170,2.526,478,0,2.258,1.404,312,0
2002,123,2.113,447,0,2.099,1.437,287,0
2003,97,2.364,472,0,2.034,1.737,392,0
2004,92,2.255,461,0,1.956,2.253,546,0
2005,120,1.363,612,0,2.512,1.464,201,0
2006,102,1.250,576,0,2.460,1.164,361,0
2007,126,950,587,0,2.145,1.351,398,0
2008,132,972,598,0,2.183,1.439,404,0
2009,52,584,591,0,2.244,1.488,498,0
2010,54,500,670,0,2.517,1.771,499,0
2011,35,396,569,0,2.336,1.833,492,0
2012,37,398,365,0,2.445,2.150,508,0
2013,29,500,404,0,2.480,2.716,520,0
2014,24,524,445,0,2.147,2.682,517,1
2015,19,476,492,0,2.222,2.732,522,1
2016,18,565,589,0,2.276,2.839,500,2
2017,26,266,805,0,2.277,3.161,491,4
2018,23,239,718,0,2.075,2.837,460,4
2019,16,158,866,0,2.104,2.340,438,4
2020,17,161,721,0,2.105,2.599,239,3
2021,12,171,775,0,2.486,3.102,253,3
2022,10,139,672,0,1.983,3.518,256,4
2023,8,131,370,0,1.925,3.397,279,2
Source:,,,,,,,,
,Energy balances Austria (detailed results: https://www.statistics.at/statistics/energy-,,,,,,,
,and-environment/energy/energy balances) and useful energy analysis Öster reich,,,,,,,
,(detailed results: https://www.statistik.at/statistiken/energie-und-um-,,,,,,,
,world/energy/useful energy analysis) or STATcube – STATISTIK AUSTRIA,,,,,,,
,statistical database,,,,,,,
