year,Fossils f. (TJ),Fossils fl. (TJ),Fossils gf. (TJ),Bb. Fall- offs (TJ),Firewood (TJ),Biogenes f. (TJ),Biogene fl. (TJ),Biogenic gf. (TJ)
1990,438,4.293,11.265,43,390,608,5,10
1991,476,4.631,10.851,64,429,595,5,10
1992,372,4.029,10.744,73,416,569,4,9
1993,351,5.200,10.683,57,480,592,5,10
1994,471,5.236,10.891,64,506,510,4,8
1995,276,4.566,11.876,70,661,413,3,7
1996,264,5.593,12.887,62,413,577,4,9
1997,3,7.396,12.205,66,152,649,5,11
1998,0,6.187,11.859,74,85,522,4,8
1999,3,4.732,10.935,256,533,1.641,12,27
2000,2,5.659,12.016,138,353,1.561,12,25
2001,3,7.786,12.243,236,402,1.489,12,24
2002,1,5.798,11.851,167,432,1.266,9,21
2003,2,7.464,11.833,166,533,1.289,11,20
2004,1,8.357,11.420,131,648,1.349,13,21
2005,1,8.690,11.154,188,581,1.177,4,22
2006,0,8.617,11.383,180,553,2.251,27,30
2007,0,7.151,11.243,212,445,2.782,35,41
2008,0,6.213,11.619,175,391,2.896,41,43
2009,1,6.116,12.162,99,288,3.056,55,64
2010,0,5.181,13.212,85,309,6.818,109,122
2011,0,5.208,13.198,92,234,6.327,109,127
2012,0,5.839,13.400,37,256,6.518,114,163
2013,0,2.557,11.505,64,0,4.724,73,136
2014,0,2.336,10.979,59,8,4.268,70,128
2015,0,2.044,9.518,167,2,2.986,49,97
2016,0,1.945,9.767,191,10,2.935,43,90
2017,0,1.681,9.606,192,11,2.967,44,96
2018,0,1.390,9.846,215,11,2.816,45,61
2019,0,1.565,9.755,217,13,2.580,34,68
2020,0,1.200,9.662,203,11,2.732,41,55
2021,0,1.199,10.362,208,0,2.781,36,69
2022,0,1.967,10.685,176,0,3.316,48,88
2023,0,2.213,9.160,123,0,3.316,37,92
