,year,Geo thermie (TJ),"until 2023 for indoor climate and hot water (renewable energy sources, local and district heating and electrical energy)",Warmth (TJ),Solar heat (TJ),Reak. heat (TJ),District heating (TJ),Electricity (TJ),Total (TJ)
,1990,0,,34,0,0,1.814,1.377,20.278
,1991,0,,38,0,0,2.163,1.402,20.662
,1992,0,,42,0,0,2.030,1.374,19.663
,1993,0,,47,0,0,2.266,1.342,21.032
,1994,0,,52,0,0,2.190,1.419,21.351
,1995,0,,59,0,0,2.415,1.477,21.823
,1996,0,,65,0,0,3.266,1.350,24.493
,1997,0,,71,0,0,2.701,1.315,24.575
,1998,0,,77,0,0,2.689,1.347,22.853
,1999,0,,82,0,0,2.863,2.330,23.414
,2000,0,,85,0,0,3.704,3.259,26.817
,2001,0,,86,0,0,4.008,3.981,30.269
,2002,0,,89,0,0,4.076,4.471,28.182
,2003,0,,99,0,0,4.471,5.367,31.254
,2004,0,,106,0,0,4.877,6.508,33.430
,2005,0,,112,0,0,5.451,7.235,34.614
,2006,0,,112,0,0,5.798,7.471,36.423
,2007,0,,123,0,0,5.665,7.687,35.384
,2008,0,,57,0,0,5.619,7.447,34.501
,2009,0,,90,2,0,6.291,7.173,35.397
,2010,0,,90,2,0,4.973,3.385,34.286
,2011,0,,133,2,0,4.862,3.458,33.750
,2012,0,,149,1,0,5.485,3.480,35.442
,2013,0,,163,1,0,4.481,3.325,27.030
,2014,0,,226,2,0,4.090,3.245,25.412
,2015,0,,153,4,0,3.931,5.918,24.868
,2016,0,,185,6,0,3.804,6.145,25.121
,2017,0,,231,6,0,3.939,6.183,24.956
,2018,0,,300,8,0,4.210,6.260,25.161
,2019,0,,268,7,0,3.815,6.143,24.466
,2020,0,,285,7,0,3.636,5.721,23.554
,2021,0,,326,10,0,3.902,5.935,24.826
,2022,0,,379,13,0,3.952,5.794,26.417
,2023,0,,427,37,0,3.821,5.344,24.570
