,epoch,EFH,MFH,GWB,Total WG,Total WG (kum.)
,Before 1919,216.624,35.982,15.724,268.330,268.330
,1919 to 1944,121.477,18.485,5.153,145.115,413.445
,1945 to 1960,185.420,20.636,7.931,213.987,627.432
,1961 to 1970,217.294,21.380,11.732,250.406,877.838
,1971 to 1980,259.447,18.851,10.402,288.700,1.166.538
,1981 to 1990,249.555,19.246,6.374,275.175,1.441.713
,1991 to 2000,204.327,21.586,6.100,232.013,1.673.726
,2001 to 2010,209.321,20.570,6.436,236.327,1.910.053
,2011 and later,160.801,16.386,10.756,187.943,2.097.996
"Source: Buildings and housing census – GWZ 2022, STATcube – STATISTIK AUSTRIA",,,,,,
