epoch,,Buildings for communities,Hotels and similar buildings,Office buildings,Wholesale and retail buildings,"Buildings for cultural, recreational, educational and health purposes"
Before 1919,,1.032,9.630,8.736,7.121,9.079
1919 to 1944,,304,2.438,3.086,2.215,1.891
1945 to 1960,,479,3.989,4.399,3.927,2.995
1961 to 1970,,646,5.513,4.874,4.806,3.698
1971 to 1980,,669,7.183,5.714,5.454,4.456
1981 to 1990,,529,5.783,5.892,5.817,4.074
1991 to 2000,,439,3.139,5.271,5.273,3.656
2001 to 2010,,773,3.703,5.705,5.742,4.312
2011 and later,,569,2.813,3.602,3.398,3.316
Source: Building and housing census,,,,"– GWZ 2022, STATcube – Statistical data",,
,Bank of STATISTIK AUSTRIA,,,,,
