epoch,Community Buildings (m ²),Hotels and similar buildings (m ²),Office buildings (m ²),Wholesale and retail trade buildings (m ²),"Buildings for cultural, recreational, educational and health purposes (m ²)"
Before 1919,2.519.078,9.246.711,12.696.608,6.130.842,11.245.903
1919 to 1944,436.991,1.803.006,2.889.650,1.710.914,2.526.122
1945 to 1960,619.635,3.035.239,4.622.932,2.675.653,3.841.938
1961 to 1970,1.204.726,4.830.592,5.705.607,4.822.190,6.426.886
1971 to 1980,2.085.119,7.204.355,8.187.339,7.857.603,9.129.694
1981 to 1990,1.537.007,6.122.673,8.338.389,8.656.368,6.502.409
1991 to 2000,1.252.737,2.278.858,5.299.695,6.515.029,3.509.710
2001 to 2010,2.192.863,3.924.214,7.552.648,8.261.266,5.467.439
2011 and later,1.796.663,2.647.890,6.007.048,5.262.162,4.065.188
Source: Building and housing census,,,"– GWZ 2022, STATcube – Statistical data",,
