Sector,Type of buildings,2030 [kgCO2eq/m2.year],2030 [%],2040 [kgCO2eq/m2.year],2040 [%],2050 [kgCO2eq/m2.year],2050 [%]
Residential,Houses,11.64,-24%,5.9,-62%,0.54,-96%
Residential,Apartments,19.48,-20%,10.89,-55%,1.04,-96%
Residential,Total,12.65,-23%,6.57,-60%,0.61,-96%
Non-residential,Public - Schools,8.7,-40%,1.26,-91%,0.45,-97%
Non-residential,Public - Offices,14.51,-40%,2.07,-91%,0.73,-97%
Non-residential,Public - Health,10.43,-42%,1.05,-94%,0.37,-98%
Non-residential,Public - Other,8.84,-41%,1.18,-92%,0.42,-97%
Non-residential,Private - Offices,7.05,-43%,0.71,-94%,0.25,-98%
Non-residential,Private - Other,16.74,-44%,1.02,-97%,0.36,-99%
Non-residential,Private - Shops,11.91,-38%,2.28,-88%,0.8,-96%
Non-residential,Total,10.55,-41%,1.44,-92%,0.51,-97%
Total,Total,12.25,-27%,5.62,-66%,0.59,-96%
