EPC Class,No of residential buildings in 2025,Floor area residential in 2025 (m2),No of non-residential buildings in 2025,Floor area non-residential in 2025 (m2)
A+,0,0,0,0
A0,0,0,0,0
A,320,251 780,515,1 135 749
B,2 968,4 042 836,1 710,4 875 769
C,975,4 018 760,560,1 736 449
D,922,4 581 955,324,860 851
E,662,2 988 726,260,650 918
F,267,1 104 321,158,346 747
G,112,358 038,262,371 179
Without valid EPC,1 159 772,281 772 397,346 739,83 384 246
EPC not required,,,3 992,812 885
Total,1 165 998,299 118 813,354 520,94 174 793
