Main energy resource,Detached house (No),Detached house (Share),Twin house/part of house (No),Twin house (Share),Apartment <10 dwellings (No),Apartment <10 (Share),Apartment 10+ dwellings (No),Apartment 10+ (Share),Other (No),Other (Share)
Electricity,70 502,30 %,33 355,33 %,25 925,24 %,177 627,27 %,826,100 %
Gas - natural or propane,7 551,26 %,2 516,16 %,1 411,6 %,26 905,13 %,469,100 %
"Naphtha, oil radiators, etc.",,0 %,297,100 %,,,386,7 %,,
Biomass,6 412,10 %,3 910,17 %,375,8 %,2 463,12 %,,
Wood,373 339,46 %,58 691,45 %,8 186,33 %,35 608,37 %,4 502,88 %
Coal,5 366,33 %,1 491,21 %,,0 %,8 538,28 %,,
RES,509,53 %,,,,,,,,
Other,617,57 %,,,947,14 %,13 977,13 %,,
Not applicable,1 404,39 %,,,1 904,14 %,20 916,20 %,,
Does not know,915,76 %,248,100 %,282,100 %,326,67 %,,
All,466 615,40 %,100 508,36 %,39 031,21 %,286 746,23 %,5 797,91 %
