Main energy resource,Three measures (No),Three measures (Share),Two measures (No),Two measures (Share),One measure (No),One measure (Share),No measures (No),No measures (Share),Total (No),Total (Share)
Electricity,6 039,13 %,24 287,21 %,41 864,22.9 %,236 044,31 %,308 234,27.7 %
Gas - natural or propane,,,5 147,14 %,3 004,7.9 %,30 702,17 %,38 853,14.4 %
"Naphtha, oil radiators, etc.",,,,,,0.0 %,683,21 %,683,11.4 %
Biomass,601,7 %,1734,9 %,3 610,13.1 %,7 216,12 %,13 160,11.5 %
Wood,5 942,36 %,16 851,26 %,52 870,33.8 %,404 664,49 %,480 327,45.1 %
Coal,,,1 181,18 %,1 332,21.2 %,12 881,32 %,15 395,28.1 %
RES,,,,,509,100.0 %,,,509,53.3 %
Other,624,69 %,819,5 %,5 936,20.8 %,16 845,22 %,24 224,20.0 %
Not applicable,,,311,3 %,761,7.9 %,14 470,15 %,15 541,13.2 %
Does not know,,,,,,,1 771,100 %,1 771,79.6 %
All EB households,13 206,13 %,50 330,18 %,109 885,24.3 %,725 276,36 %,898 698,31.4 %
