Area,Total buildings,Occupied buildings,Buildings not occupied,Relative share of occupied buildings
Blagoevgrad,85734,57863,27871,67.5 %
Burgas,109035,62811,46224,57.6 %
Varna,105147,57054,48093,54.3 %
Veliko Tarnovo,85762,46147,39615,53.8 %
Vidin,56847,19896,36951,35.0 %
Vratsa,89082,38372,50710,43.1 %
Gabrovo,42898,19802,23096,46.2 %
Dobrich,60104,32022,28082,53.3 %
Kardzhali,49602,32470,17132,65.5 %
Kyustendil,61517,28517,33000,46.4 %
Lovech,74425,31308,43117,42.1 %
Montana,86217,34282,51935,39.8 %
Pazardzhik,91538,55797,35741,61.0 %
Pernik,64970,23098,41872,35.6 %
Pleven,94775,52782,41993,55.7 %
Plovdiv,157402,100621,56781,63.9 %
Razgrad,42267,27846,14421,65.9 %
Ruse,62280,34908,27372,56.1 %
Silistra,39546,25698,13848,65.0 %
Sliven,61881,36944,24937,59.7 %
Smolyan,38728,23667,15061,61.1 %
Sofia (capital),118594,74208,44386,62.6 %
Sofia,141633,59916,81717,42.3 %
Stara Zagora,91176,51019,40157,56.0 %
Targovishte,42254,24067,18187,57.0 %
Haskovo,76170,44667,31503,58.6 %
Shumen,52552,33764,18788,64.2 %
Yambol,40985,23432,17553,57.2 %
Total,2123121,1152978,970143,54.3 %
