Year of construction,From central heating source - district heating network,Local heating system,"Fireplace, stoves, air conditioners, etc.","Portable radiators, electric stoves, etc.",Dwelling not heated,All
Energy poor households,,,,,,
1945-1960,180,2556,1143,,,3879
1961-1980,2065,13704,31890,1120,,48778
1981-2000,16316,75626,142566,7909,326,242743
2001-2020,39759,115582,175504,9556,282,340683
2021 or later,22082,66063,147457,5108,1163,241873
I don't know,3653,4946,12141,,,20741
All energy poor,84055,278478,510701,23693,1771,898698
Total households,,,,,,
1945-1960,485,5500,3457,,,9442
1961-1980,4812,37249,61097,2107,,105264
1981-2000,80526,218759,332079,16652,326,648342
2001-2020,245672,356605,529788,28694,736,1161494
2021 or later,201012,217428,438762,17089,1163,875453
I don't know,14767,13389,35682,1874,,65713
All total,547274,848929,1400865,66415,2225,2865708
