Indicator,Unit of measurement,Value
Average number of persons per household,no.,2.25
Household reference area,sq. m,52.51
Annual energy consumption per household,BGN/year,2 640.56
Monthly average energy consumption per household,BGN/month,220.05
Annual poverty line per person in 2024 (income reference period 2023),BGN,9 165.7
"Poverty line - monthly average per person per household, total for the country in 2024",BGN,763.81
Poverty line with reflected energy cost,BGN,10 338.91
Poverty line with reflected energy cost - monthly average,BGN,861.58
Estimated number of people in poverty with reflected energy cost,no.,1 832 881
Relative share of expected number of people in poverty with energy expenditure reflected in total population as of 31.12.2022,%,28.47
