Cost groups,BGN 2015,% 2015,BGN 2023,% 2023,BGN 2024,% 2024
Total cost,4 666,100.0,10 044,100.0,11 712,100.0
Consumption total cost,3 888,83.3,8 216,81.8,9 466,80.8
Food and non-alcoholic beverages,1 463,31.4,2 987,29.7,3 357,28.7
Alcoholic beverages and tobacco products,204,4.4,390,3.9,452,3.9
Clothing and footwear,165,3.5,348,3.5,435,3.7
"Housing, water, electricity and domestic fuels",666,14.3,1 211,12.1,1 260,10.8
Household furnishings and housekeeping,173,3.7,474,4.7,570,4.9
Health,248,5.3,610,6.1,716,6.1
Transport,331,7.1,744,7.4,839,7.2
Messages,202,4.3,415,4.1,480,4.1
"Leisure, cultural recreation and education",227,4.9,558,5.6,780,6.7
Miscellaneous goods and services,209,4.5,479,4.8,577,4.9
Taxes and social security,528,11.4,1 355,13.5,1 640,14.0
