Source of funding,Budget (BGN),Buildings covered (number),Refurbished/planned TFA (m2)
Demonstration renovation of multi-dwelling buildings 2007-2011,~11 million,50,80 975
Energy renovation of Bulgarian homes 2012-2015,~50 million,156,240 692
NPEEMZHS,~2 billion,1968,11 139 922
OPRG 2014-2020 Priority Axis 1,~55 million,219,68 033
OPRG 2014-2020 Priority Axis 2,~135 million,574,323 040
NRRP Stage I,1.144 billion,761,4 057 648
NRRP Phase II,140 million,287,497 208
RDP 2021-2027 Priority 1,~26 million,~45,~95 484
RDP 2021-2027 Priority 2,~64 million,~389,~234 074
RDP 2021-2027 Priority 4 Just Transition,~203 million,139,~293 962
NEPT,~2.5 billion,~2200,~7 680 000
