Flooring,Total occupied buildings,House,"Apartment block, cooperative",Mixed-type building (over 60 % residential),Dormitory,Vila,Collective household building
1 floor,535 689,532 349,0,0,63,3 134,143
2 floors,482 004,475 542,2 511,583,56,3 011,301
3 floors,70 878,57 693,12 127,539,30,395,94
4 floors,20 982,0,20 464,415,36,35,32
5 floors,16 495,0,16 084,353,37,3,18
6 floors,10 452,0,10 178,248,23,0,3
7 floors,5 450,0,5 279,158,11,0,2
8 floors,7 132,0,7 001,79,51,0,1
9 floors,1 497,0,1 454,35,7,0,1
10 and more floors,2 399,0,2 330,40,29,0,0
Total,1 152 978,1 065 584,77 428,2 450,343,6 578,595
