Type of building,Final energy consumption [kten] - 2023,Final energy consumption [kten] - 2020,Primary energy consumption [kten] - 2023,Primary energy consumption [kten] - 2020
Residential buildings,2223,2277,2647,2690
Family houses,1440,1474,1714,1742
Multi-dwelling buildings,784,803,933,948
Non-residential buildings,651,641,919,888
Office,140,210,197,291
Educational,98,51,139,71
Hospitals,45,22,64,31
Hotels and restaurants,85,130,120,180
Sports halls,24,14,34,19
Shops,128,117,181,162
Other,130,97,184,134
TOTAL,2874,2919,3566,3578
