Energy,Space heating energy - Residential buildings [kten],Share - Residential buildings,Space heating energy - Non-residential buildings [kten],Share - Non-residential buildings,Space heating energy - Total [kten],Share - Total
LPG,3,0.2%,2,0.6%,5,0.3%
Fuel oil,38,2.6%,18,5.7%,56,3.2%
Natural gas,343,23.8%,176,56.3%,518,29.6%
Solar energy,1,0.1%,0.3,0.1%,2,0.1%
Geothermal energy,0,0.0%,3,0.9%,3,0.2%
Wood for use as firewood,866,60.1%,3,0.8%,869,49.5%
Other biomass,50,3.5%,8,2.7%,59,3.4%
Electricity,36,2.5%,38,12.3%,74,4.2%
Environmental energy,15,1.0%,12,4.0%,27,1.5%
Thermal energy,90,6.2%,52,16.7%,142,8.1%
TOTAL,1442,100%,313,100%,1754,100%
