Type of building,Number of buildings - 2023,Number of buildings - 2020,Usable area (m²) - 2023,Usable area (m²) - 2020
Residential buildings,966487,950808,134796184,130173926
Family houses,874009,861027,87235121,84286185
Multi-dwelling buildings,92478,89780,47651063,45887741
Non-residential buildings,47573,44559,41074155,38471848
Office,15607,14618,8822257,12621188
Educational,3816,3575,6207968,3086236
Hospitals,1668,1563,2847298,1349199
Hotels and restaurants,9627,9017,5376559,7785109
Sports halls,1012,948,1517230,818667
Shops,8655,8107,8067257,6999372
Other non-residential buildings,7187,6732,8235586,5812076
Of which public buildings,30539,28605,11258426,10545133
TOTAL,1014060,995366,175870340,168645774
