Construction period,Family houses - Continental (m²),Family houses - Coastal (m²),Multi-dwelling buildings - Continental (m²),Multi-dwelling buildings - Coastal (m²)
> 1945,5666174,4704643,2959304,2461596
1945-1960,6609966,1410039,2065742,1223133
1961-1970,11870673,3251331,4556525,3583099
1971-1980,13300933,3748541,5432020,4065849
1981-1990,9728701,3127355,4204814,3041847
1991-2000,6034449,1769802,1746961,1123945
2001-2005,2550841,946363,1297305,910394
2006-2010,1945917,747834,2235379,911022
2011-2019,3313869,2753946,1564188,2066458
2020-2023,2665158,1088586,1499152,612330
TOTAL,63686681,23548440,27561390,19999673
