Construction period,Commercial - Continental (m²),Commercial - Coastal (m²),Public - Continental (m²),Public - Coastal (m²)
> 1941,368972,143489,554150,222450
1941-1970,3977551,1546825,1009438,405214
1971-1980,2572866,1000559,674668,270829
1981-1987,2386206,927969,771459,309684
1988-2005,4037760,1570240,975974,391781
2006-2009,3185009,1238615,743407,298423
2010-2011,1116375,434146,218676,87782
2012-2018,2506456,974733,702837,282137
2019-2023,1316130,511828,2382942,956574
TOTAL,29815729,11258426,41074155
