Intended use,Final energy consumption [kten] - 2030 - Residential buildings,Final energy consumption [kten] - 2030 - Residential buildings (%),Final energy consumption [kten] - 2040 - Residential buildings,Final energy consumption [kten] - 2040 - Residential buildings (%),Final energy consumption [kten] - 2050 - Residential buildings,Final energy consumption [kten] - 2050 - Residential buildings (%)
Space heating,1124,59,669,46,368,32
Space cooling,51,3,81,6,94,8
DHW,257,14,233,16,218,19
Ventilation,—,—,—,—,—,—
Lighting,—,—,—,—,—,—
Other,464,24,457,32,463,41
Total residential,1896,100,1440,100,1144,100
Space heating - Non-residential buildings,256,39,153,26,90,17
Space cooling - Non-residential buildings,59,9,42,7,30,6
DHW - Non-residential buildings,—,—,—,—,—,—
Ventilation - Non-residential buildings,—,—,—,—,—,—
Lighting - Non-residential buildings,—,—,—,—,—,—
Other - Non-residential buildings,348,52,389,67,421,78
Total Non-residential,662,100,584,100,540,100
Space heating - Total,1380,54,822,41,459,27
Space cooling - Total,110,4,123,6,124,7
DHW - Total,257,10,233,11,218,13
Ventilation - Total,n.e.c.,n.e.c.,n.e.c.,n.e.c.,n.e.c.,n.e.c.
Lighting - Total,n.e.c.,n.e.c.,n.e.c.,n.e.c.,n.e.c.,n.e.c.
Other - Total,812,32,846,42,884,52
TOTAL,2558,100,2023,100,1685,100
