Intended use,Primary energy consumption [kten] - 2030 - Residential buildings,Primary energy consumption [kten] - 2030 - Residential buildings (%),Primary energy consumption [kten] - 2040 - Residential buildings,Primary energy consumption [kten] - 2040 - Residential buildings (%),Primary energy consumption [kten] - 2050 - Residential buildings,Primary energy consumption [kten] - 2050 - Residential buildings (%)
Space heating,1246,59,707,46,395,32
Space cooling,57,3,86,6,101,8
DHW,285,14,246,16,234,19
Ventilation,—,—,—,—,—,—
Lighting,—,—,—,—,—,—
Other,515,24,483,32,497,41
Total residential,2102,100,1521,100,1226,100
Space heating - Non-residential buildings,333,39,192,26,112,17
Space cooling - Non-residential buildings,76,9,52,7,37,6
DHW - Non-residential buildings,—,—,—,—,—,—
Ventilation - Non-residential buildings,—,—,—,—,—,—
Lighting - Non-residential buildings,—,—,—,—,—,—
Other - Non-residential buildings,451,52,488,67,523,78
Total Non-residential,860,100,732,100,673,100
Space heating - Total,1578,53,899,40,507,27
Space cooling - Total,133,4,138,6,138,7
DHW - Total,285,10,246,11,234,12
Ventilation - Total,—,—,—,—,—,—
Lighting - Total,—,—,—,—,—,—
Other - Total,966,33,971,43,1020,54
TOTAL,2962,100,2253,100,1899,100
