N/A,Title of measure,Implementing Body,Implementation period,Expected cumulative energy savings by double counting,Expected cumulative energy savings without double counting,Contribution to Objective (349.04 ktoe) with double counting of energy savings,Contribution to Objective (349.04 ktoe) without double counting of energy savings
1,Energy Efficiency Obligation Scheme (EEOS).,"Ministry of Energy, Commerce and Industry",2023 – 2030,"100,01","100,01","28,65%","28,65%"
2,Additional building factor for new and renovated buildings.,Ministry of the Interior (Department of Town Planning and Housing),2014 – 2024,"6,26","6,26","1,79%","1,79%"
3,Individual energy efficiency interventions and energy upgrades in selected state buildings,Department of Public Administration Projects and Department Electromechanical,2021 – 2030,"14,95","14,95","4,28%","4,28%"
4,"Implement soft measures (information campaigns, trainings, workshops, etc.).","Services Ministry of Energy, Commerce and Industry",2021 – 2030,"2,78","0,00","0,80%","0,00%"
5,European Regional Cooperation Programme INTERREG V-A Greece - Cyprus 2014-2020.,"Ministry of Energy, Commerce and Industry",2018 – 2023,"0,75","0,75","0,22%","0,22%"
6,"Sponsorship Plan ""Save - Upgrade in Residences""","Ministry of Energy, Commerce and Industry",2021 – 2027,"75,52","75,52","21,64%","21,64%"
7,"Sponsorship Plan ""Save - Upgrade to Businesses and other Organizations""","Ministry of Energy, Commerce and Industry",2023 – 2026,"40,00","40,00","11,46%","11,46%"
8,Energy upgrading of hospitals and/or hospital units and construction of new energy efficient hospitals and/or hospital units,State Health Services Agency,2021 – 2026,"1,12","1,12","0,32%","0,32%"
9,"Grant Scheme ""Encouraging the reduction of greenhouse gas emissions in enterprises""",Department of Environment,2023 – 2030,"31,33","31,33","8,98%","8,98%"
10,Individual energy efficiency interventions and energy upgrades in buildings of the wider public sector.,"Organisations of the wider public sector (Municipalities, Communities, etc.)",2021 – 2026,"1,30","1,30","0,37%","0,37%"
11,"Grant Schemes of the RES and RES Fund to promote energy efficiency investments in the domestic, tertiary and public sectors.",Management Committee of the RES and RES Fund,2021 – 2026,"23,95","23,95","6,86%","6,86%"
12,Energy efficient road lighting.,"Ministry of Interior, EAC Municipalities/Communitie s, Electromechanical Services",2018 – 2024,"9,91","9,91","2,84%","2,84%"
13,Advanced measurement infrastructure project,Cyprus Energy Regulatory Authority & Distribution System Operator,2021 – 2030,"10,32","0,00","2,96%","0,00%"
14,Energy saving measures in the road transport sector.,"Ministry of Transport, Communications and Works.",2021 – 2030,"29,75","0,00","8,52%","0,00%"
15,Energy efficiency in the water sector.,Water Development Department,2021 – 2030,"0,80","0,80","0,23%","0,23%"
16,Energy consumption charge applied to electricity,Management Committee of the RES and RES Fund,2021 – 2030,"19,17","7,01","5,49%","2,01%"
17,Excise duty on road transport fuels exceeding the minimum levels required by Directive 2003/96/EC.,Ministry of Finance,2014 – 2030,"82,37","82,37","23,60%","23,60%"
Cumulative savings in each year (ktoe),,,,"450,28","395,28","129,01%","113,25%"
