No. of | indicator,NBRP Indicator heading,NBRP Indicators,Data (targets) | 2030,2040,2050,Units,NBRP Indicator | (Mandatory/Mia v),Comments
13,,Gas,,,,n.a,Mandatory,
,,Electricity grid,,,,n.a,Mandatory,
,,Oil,,,,n.a,Mandatory,
,,GPL,,,,n.a,Mandatory,
,,Coal,,,,n.a,Mandatory,
,,Solid Biomass,"0,1","0,1","0,1",n.a,Mandatory,
,Renewable (fPren),Liquid Biomass,"0,1","0,1","0,1",n.a,Mandatory,
,,Solar PV,"1,0","1,0","1,0",n.a,Mandatory,
,,Solar thermal,"1,0","1,0","1,0",n.a,Mandatory,
,,Wind,"1,0","1,0","1,0",n.a,Mandatory,
,,Hydropower,"1,0","1,0","1,0",n.a,Mandatory,
,,District heating/cooling (could be a national average),,,,n.a,Mandatory,
,,Other (please specify),,,,n.a,Miav,Add as many lines as necessary
,,Gas,,,,n.a,Mandatory,
,,Electricity grid,,,,n.a,Mandatory,
,,Oil,,,,n.a,Mandatory,
,,GPL,,,,n.a,Mandatory,
,,Coal Solid Biomass,,,,n.a n.a,Mandatory Mandatory,
,Total (fPtot),Liquid Biomass Solar PV,,,,n.a n.a,Mandatory Mandatory,
,,Solar thermal,,,,n.a,Mandatory,
,,Wind,,,,n.a,Mandatory,
,,Hydropower,,,,n.a,Mandatory,
,,District heating/cooling (could be a national average),,,,n.a,Mandatory,
,,Other (please specify),,,,n.a,Miav,Add as many lines as necessary
,Energy poverty,,,,,,,
,,% reduction of people affected by energy poverty,10%,20%,30%,%,Mandatory,"For 2030, the figure is represented with the National Energy and Climate Plan"
14,,proportion of disposable household income spent on energy,,,,%,Miav,"Possibly disaggregated by electricity, gas and other fuels and/or level of income"
,,population living in dependent dwelling conditions,,,,thousands,Miav,
