No. of | indicator,NBRP Indicator heading,NBRP Indicators of Disaggregation,NBRP | Indicator | (Mandator,2026,2027,2028,2029,2030,20312033,20342035,20362040,20412045,20462050
,,,y/Miav),,,,,,,,,,
,"Investment needs for renovation of existing stock (in million €) 110,2 110,2 110,2 110,2 110,2 224,8 201,6 303,2 303,2 303,2",,,,,,,,,,,,
,,Residential buildings,Mandatory,"101,6","101,6","101,6","101,6","101,6","155,4","155,4","187,5","187,5","187,5"
,Residential buildings,,,,,,,,,,,,
,,out of which for the 43% worst-performing buildings,Miav,"101,6","101,6","101,6","101,6","101,6","155,4","155,4","93,8","93,8","93,8"
,,Non-residential buildings,Mandatory,"8,5","8,5","8,5","8,5","8,5","69,4","46,3","115,7","115,7","115,7"
,Non-residential buildings,,,,,,,,,,,,
,,out which for worst performing (buildigns concerned by article 9(1)),Miav,"8,5","8,5","8,5","8,5","8,5","69,4","46,3","115,7","115,7","115,7"
1,,,Miav,,,,,,,,,,
,"Other needs such as: administrative resources, alleviation of energy poverty, creation of OSS, deployment of solar energy installations and",,,,,,,,,,,,
,infrastructure for smart mobility,,,,,,,,,,,,
,Sources of financing (Public/Private ) incl. Budgetary resources (in millions of €),,"110,2 110,2 110,2 110,2 110,2 224,8 201,6 303,2 303,2 303,2",,,,,,,,,,
,,Local funds,Mandatory,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
,,Regional funds,Mandatory,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
,Public,National funds,Mandatory,"22,0","22,0","22,0","22,0","22,0","45,0","40,3","60,6","60,6","60,6"
,(inc. Budgetary resources),EU funds,Mandatory,"33,1","33,1","33,1","33,1","33,1","67,4","60,5","91,0","91,0","91,0"
,,Other (describe),Miav,,,,,,,,,,
,,Total public funding,Mandatory,"55,1","55,1","55,1","55,1","55,1","112,4","100,8","151,6","151,6","151,6"
,,Own financing,Mandatory,"35,8","35,8","35,8","35,8","35,8","73,1","65,5","98,5","98,5","98,5"
2,,Mortgages,Mandatory,"16,5","16,5","16,5","16,5","16,5","33,7","30,2","45,5","45,5","45,5"
,,Non-secured loans,Mandatory,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
,Private,,,,,,,,,,,,
,,PPP/Energy Performance contracting,Mandatory,"2,8","2,8","2,8","2,8","2,8","5,6","5,0","7,6","7,6","7,6"
,,Other (describe),Miav Mandatory,,,,,,,,,,
,,Total private funding,,"55,1","55,1","55,1","55,1","55,1","112,4","100,8","151,6","151,6","151,6"
