None,Values,None,None,None,None,None,None
Indicators of the trajectory,2020 baseline,2030 milestone (at least,2035 milestones (at,2040 milestones,2045 milestones,2050 milestones,Comment
,,-16%),least -20-22%),,,,
Floor area of the residential building stock (in m²),89.368.444,100.683.333,103.200.417,105.717.500,108.360.438,111.003.375,"2020, 2030, 2040 and 2050 values to match those already provided in the overview/roadmap sections"
Primary energy use of the residential building stock (in ktoe),628,388,380,371,385,399,"2020, 2030, 2040 and 2050 values to match those already provided in the overview/roadmap sections"
Primary energy use of the residential building stock (in GWh),7.300,4.514,4.417,4.319,4.478,4.636,Conversion
Number of residential buildings to be renovated (average over the period),,7.801,3.993,3.993,3.500,3.500,"2030, 2040 and 2050 values to match those already provided in the overview/roadmap sections"
Floor area of residential buildings to be renovated (average over the period),,1.505.589,770.632,770.632,675.500,675.500,
Average primary energy use in kWh/(m².year),82,45,43,41,41,42,
Variation compared to 2020 (%),n.a,-45%,-48%,-50%,-49%,-49%,
Additional indicator as per Article 9(3) (optional),,,,,,,e.g renewable energy use in the residential sector or operational GHG emissions
