Type of dwelling,Building period,Area (m²),Volume (m 3),Number of floors,Frames surface (m²),External masonry surface (m²),Number of households
Detached house,Before 1970,"132,1","396,3",1,10,"188,4",1
,1971-1990,"151,2","453,6",1,"17,9","148,8",1
,1991-2007,"141,4","424,0",1,"22,1","155,6",1
,After 2008,"202,2","606,6",2,"43,3","276,6",1
Double-dwelling,Before 1970,"265,4","796,2",1,20,342,2
,1971-1990,"300,2","900,7",1,"30,9","231,6",2
,1991-2007,"302,4","900,7",2,"38,8","297,6",2
,After 2008,"302,8","908,4",2,"35,7","319,2",2
Residential in continuous construction (beyond two),Before 1970,"718,5","2155,5",1,"92,1",801,3
,1971-1990,"842,7","2528,2",1,"89,2","802,5",3
,1991-2007,"1001,6","3004,8",1,"127,1","921,6",3
,After 2008,"1335,5","4006,4",1,"169,5","1228,8",4
Block of flats,Before 1970,"345,4","1022,6",3,"62,3","380,3",3
,1971-1990,"690,8","2072,4",3,133,"916,8",6
,1991-2007,"690,8","2072,4",3,133,"916,8",6
,After 2008,"861,4","2181,7",4,164,1064,8
