Fuel,Final energy consumption – households (TJ),
,2022,2023
Natural gas,0,0
Petroleum and petroleum products,"4.516,473","3.884,126"
Liquefied gases,"1.664,014","1.589,138"
Other kerosene,"514,037","352,415"
Gas oil and diesel oil,"2.338,422","1.942,573"
Mazut,0,0
Renewable energy and biofuels,"4.176,932","4.106,148"
Solar thermal energy,"2.721,266","2.761,194"
Ambient heat (heat pumps),"534,254","545,034"
Primary solid biofuels,"634,111","538,432"
Charcoal,"287,301","261,488"
Biogases,0,0
Electricity,"6.401,826","6.096,596"
Heat,0,0
Total,"15.095,230","14.086,870"
