Heating system,Fuel,Detached house,Double-family houses and houses in continuous,Apartments,Other types of dwellings
Central heating with oil boiler,Oil,41% (27%),35% (25%),17% (5%),23% (9%)
Central heating with condensing boiler,Oil or LPG,0% (0%),0% (0%),0% (0%),0% (0%)
Oil stove,Oil,2% (2%),2% (2%),2% (1%),1% (2%)
Central heating with LPG boiler,LPG,3% (3%),1% (2%),0% (1%),0% (1%)
Gas stove,LPG,11% (17%),11% (19%),9% (13%),28% (21%)
Heat pump,Electricity,4% (3%),4% (2%),5% (2%),0% (2%)
Heat pump with geoexchanger,Electricity,0% (0%),0% (0%),0% (0%),0% (0%)
Self-contained air conditioning units,Electricity,17% (17%),23% (19%),35% (42%),14% (19%)
High efficiency self-contained air conditioning units,Electricity,4% (4%),6% (5%),9% (11%),4% (5%)
Electric stove,Electricity,8% (10%),9% (12%),11% (15%),20% (29%)
Thermal accumulators EAC,Electricity,2% (1%),3% (1%),6% (1%),0% (0%)
Fireplace,Biomass,4% (13%),3% (12%),1% (2%),1% (3%)
Not at all or other means of heating,N/A,3% (2%),2% (2%),5% (8%),7% (9%)
