Fuel,Final energy consumption – other sectors – | commercial and public services (TJ),
,2022,2023
Natural gas,0,0
Petroleum and petroleum products,"1.451,622","1.462,650"
Liquefied gases,"545,322","508,049"
Other kerosene,"90,710","88,082"
Gas oil and diesel oil,"653,783","685,995"
Mazut,"161,807","180,524"
Renewable energy and biofuels,"2.354,057","2.302,643"
Solar thermal energy,"385,225","389,231"
Ambient heat (heat pumps),"1.578,167","1.595,561"
Primary solid biofuels,"166,307","106,425"
Charcoal,"191,544","174,345"
Biogases,"27,412","37,081"
Electricity,"8.189,374","8.467,510"
Heat,0,0
Total,"11.995,052","12.232,803"
