"Total power system efficiency (based on NECP December 2024 additional measures scenario | projections) | 2020 2025 2030 2035 2040 2045 2050 | 39,7% 48,1% 61,0% 64,0% 73,8% 70,0% 70,7% | 2,52 2,08 1,64 1,56 1,35 1,43 1,42 | Fuel share in final energy demand (based on NECP December 2024 scenario projections) | Total final energy demand | Mineral fuels 67,0% 68,6% 64,0% 51,0% 35,8% 24,2% 18,5% | Biomass 4,4% 3,8% 4,1% 4,4% 5,7% 5,9% 5,7% | Electricity 23,9% 22,8% 25,9% 37,4% 47,3% 52,5% 52,8% | RES 4,7% 4,8% 6,1% 7,2% 11,2% 17,4% 23,0% | Final energy demand in the building sector | Mineral fuels 26,1% 25,3% 23,7% 15,1% 8,8% 4,9% 3,0% | Biomass 5,2% 4,9% 4,9% 5,9% 8,2% 7,3% 6,3% | Electricity 55,7% 56,0% 55,3% 62,8% 63,7% 61,7% 58,7% | RES 13,0% 13,8% 16,1% 16,2% 19,3% 26,1% 32,0% | Final energy demand in the residential sector | Mineral fuels 31,3% 32,3% 31,0% 21,7% 13,0% 7,4% 4,6% | Biomass 6,4% 6,0% 5,4% 4,2% 7,8% 6,6% 5,9% | Electricity 44,3% 41,9% 41,7% 54,4% 55,8% 52,7% 47,7% | RES 17,9% 19,8% 21,9% 19,7% 23,4% 33,3% 41,9% | Final energy demand in the tertiary sector | Mineral fuels 17,7% 15,7% 13,6% 6,8% 3,5% 1,8% 1,0% | Biomass 3,2% 3,4% 4,2% 7,9% 8,8% 8,3% 6,9% | Electricity 74,0% 75,4% 74,2% 73,5% 73,6% 72,9% 73,2% | RES 5,1% 5,5% 7,9% 11,7% 14,1% 17,0% 19,0% | Final energy to primary conversion factors | Total final energy demand 1,34 1,23 1,13 1,15 1,04 1,02 0,96 | Building sector (total) 1,70 1,45 1,17 1,15 0,97 0,94 0,87",,,,,,,
Residential sector,"1,47","1,23","1,03","1,09","0,91","0,84","0,73"
Tertiary sector,"2,06","1,75","1,37","1,23","1,04","1,07","1,05"
Final energy to primary conversion factors if a fixed factor of 2.7 is used for electricity,,,,,,,
2020 2025 2030 2035 2040 2045 2050,,,,,,,
"Total final energy demand 1,39 1,37 1,41 1,58 1,68 1,69 1,64",,,,,,,
"Building sector (total) 1,80 1,80 1,76 1,87 1,83 1,73 1,62",,,,,,,
Residential sector,"1,55","1,49","1,47","1,71","1,66","1,51","1,34"
Tertiary sector,"2,20","2,21","2,16","2,07","2,03","2,00","1,99"
Correction factor of final energy to primary conversion factor,,,,,,,
2020 2025 2030 2035 2040 2045 2050,,,,,,,
"Total final energy demand 0,97 0,90 0,80 0,73 0,62 0,60 0,59",,,,,,,
"Building sector (total) 0,94 0,81 0,67 0,62 0,53 0,55 0,54",,,,,,,
Residential sector,"0,95","0,83","0,70","0,64","0,55","0,56","0,54"
Tertiary sector,"0,94","0,79","0,63","0,60","0,51","0,54","0,53"
