Fulfilment of the objectives of Directive (EU) 2024/1275,2030,2035,2040,2045,2050
Improvement of the average primary energy consumption,,,,,
resulting from the renovations of the worst energy efficient,"8,8%","11,6%",,,
,,,"12,4%","13,2%","14,0%"
houses,,,,,
Minimum requirement of the Directive:,"8,8%","11,6%",,,
Improvement of the average primary energy consumption of,,,,,
the entire housing stock compared to 2020 only due to,"10,2%","13,0%","14,5%","16,0%","17,6%"
renovations,,,,,
Percentage of primary energy savings resulting from,,,,,
,"86,0%","89,0%",,,
renovations of the worst energy efficient houses,,,,,
Minimum requirement of the Directive:,,,,,
,55%,55%,,,
Improvement of the average primary energy consumption of,,,,,
the entire housing stock compared to 2020 only due to,,,,,
,"30,5%","38,4%","46,0%","44,0%","43,6%"
"renovations, taking into account the change in the",,,,,
primary energy factor,,,,,
Improving primary energy consumption of all housing stock,"38,1%","48,3%","57,2%","57,6%","59,3%"
by 2020 (including new buildings),,,,,
Minimum requirement of the Directive:,16%,20-22%,,,
