Fulfilment of NECP objectives,2030,2035,2040,2045,2050
Improvement of the average primary energy consumption,,,,,
resulting from the renovations of the worst energy efficient,"5,7%","8,4%",,,
,,,"9,3%","10,1%","10,9%"
houses,,,,,
Minimum requirement of the Directive:,"8,8%","11,6%",,,
Improvement of the average primary energy consumption of,,,,,
the entire housing stock compared to 2020 only due to,"7,1%","9,9%","11,4%","12,9%","14,4%"
renovations,,,,,
Percentage of primary energy savings resulting from,,,,,
,"79,9%","85,5%",,,
renovations of the worst energy efficient houses,,,,,
Minimum requirement of the Directive:,,,,,
,55%,55%,,,
Improvement of the average primary energy consumption of,,,,,
the entire housing stock compared to 2020 only due to,"28,1%","36,1%","44,0%","41,9%","41,5%"
"renovations, taking into account the change in the",,,,,
