Minimum Energy Efficiency Requirements in accordance with:,,RAA 568/2007,RAA 446/2009,RAA 432/2013,RAA 119/2016 RAA 379/2016,RAA 121/2020
In force since,,21/12/2007,1/1/2010,11/12/2013,1/1/2017,1/7/2020
Large-scale renovation,Maximum coefficient of thermal transmittance of walls and elements of the load-bearing structure that form part of the building envelope,0.85 W/² K only in buildings over 1000 m²,0.85 W/m² K only in buildings over 1000 m²,0.72 W/m² K only in buildings over 1000 m²,-,-
,Maximum thermal transmittance coefficient of horizontal building elements and ceilings forming part of the building envelope,0.75 W/m² K only in buildings over 1000 m²,0.75 W/m² K only in buildings over 1000 m²,"0,63 W/m² K only in buildings over 1000 m²",-,-
,Maximum thermal transmittance for floors overlying a closed non-heated space,"2,0 W/m² K only in buildings over 1000 m²","2,0 W/m² K only in buildings over 1000 m²","2,0 W/m² K only in buildings over 1000 m²",-,-
,Maximum thermal transmittance of frames forming part of the building envelope,3.8 W / m² K,3.8 W/m² K only in buildings over 1000 m²,"3,23 W/m² K only in buildings over 1000 m²",-,-
,Maximum average shading factor in frames forming part of the building envelope,-,-,"0,63 only in buildings over 1000 m²",-,-
,Minimum energy class in the EPC,-,B only in buildings above 1000 m²,B only in buildings above 1000 m²,B all buildings,A for residential buildings B+ for non-residential buildings
Replaced or retrofitted elements of the building,Maximum coefficient of thermal transmittance of walls and elements of the load-bearing structure that form part of the building envelope,-,-,0.72 W/m² K all buildings,0.4 W/m² K all buildings,0.4 W/m² K all buildings
,Maximum thermal transmittance coefficient of horizontal building elements and ceilings forming part of the building envelope,-,-,"0,63 W / m² K all buildings",0.4 W/m² K all buildings,0.4 W/m² K all buildings
,Maximum thermal transmittance for floors overlying a closed non-heated space,-,-,"2,0 W/m² K only in buildings over 1000 m²",-,-
,Maximum thermal transmittance of frames forming part of the building envelope,-,-,"3,23 W / m² K all buildings","2,9 W / m² K all buildings","2,25 W / m² K all buildings"
,Maximum average thermal transmittance of the building envelope excluding horizontal building elements,-,-,0.63 all buildings,-,-
