N/A,TYPE OF INVESTMENT,,Saving – Upgrading in dwellings,,other Save – actors Upgrade to businesses and,wider For energy public upgrading bodies by ATAs and,E.E. energy Encouraging in dwellings and the use of renewable,consumers appliances To replace in energy-intensive homes of vulnerable electrical,residential For solar hot use water systems for,,of For the charging plug-in electric type in dwellings or hybrid vehicles
1,"Thermal insulation of shells (ceiling, masonry, exposed floors, etc.)",,,,,,,,,,
,,,,,,,(roof only),,,,
2,Replacement of frames (and exterior shading of frames for dwellings only),,,,,,,,,,
3,Installation of solar water heater (solar panels and hot water cylinder),,,,,,,,,,
4,Installation of solar hot water or steam generation system,,,,,,,,,,
5,Installation of solar system for space heating / cooling,,,,,,,,,,
6,Installation of a self-contained air-conditioning unit,,,,,,,,,,
7,"Installation of heat pump (geothermal, aerothermal, hydrothermal)",,,,,,,,,,
8,Installation of photovoltaic system,,,,,,,,,,
9,Installation of battery for photovoltaic system,,,,,,,,,,
10,Installation of charger,,,,,,,,,,
11,Conversion of electrical household installation from single-phase to three-phase,,,,,,,,,,
12,Installation of a high-efficiency boiler,,,,,,,,,,
13,Service costs (energy audits and issuing of EPC.),,,,,,,,,,
14,"Replacement of energy-intensive electrical appliances (air conditioners, washing machines,",,,,,,,,,,
15,Replacement of product maintenance/storage refrigerators,,,,,,,,,,
16,Installation of building automation and control system,,,,,,,,,,
17,Installation of external removable shading of frames,,,,,,,,,,
18,Thermal insulation of hot water pipes,,,,,,,,,,
19,Installation of heat recovery system,,,,,,,,,,
20,Installation of a high-efficiency combined heat and power system,,,,,,,,,,
21,Installation of power factor correction and voltage optimization systems,,,,,,,,,,
22,Installation of mature energy saving technologies in the production process.,,,,,,,,,,
23,"Replacement of motors, water pumps, circulators and compressors",,,,,,,,,,
24,"Replacement of water pumps in water supply, irrigation and/or sewerage networks",,,,,,,,,,
25,Replacement of field irrigation pumps or pumps in sports pools,,,,,,,,,,
26,Replacement of public and building lighting lamps with LED lamps,,,,,,,,,,
27,Replacement of headlights in sports stadiums/facilities,,,,,,,,,,
