Year,Project name,1 epyT gnidliuB,,snoitacilppa fo rebmuN,deviecer,,snoitacilppa fo rebmuN,devorppa,,stinu gnidliub fo rebmuN,devorppa,,stinu gnidliub fo rebmuN,stnemtsevni tuo deirrac taht,,fo pihsrosnops latoT,dedulcni stcejorp,,fo tnemtsevni etavirp latoT,dedulcni stcejorp,,snoitacilppa diaP,,tnuoma tnemyap latoT,,etavirp fo tsoc detamitsE,tnemtsevni,,aera gnidliub egarevA,,detceles egarevA,tsoc tnemtsevni,,ygrene launna egarevA,ot laitini gnirapmoc( sgnivas,)CPE lanif,,A rotacidni sgnivaS,,B rotacidni sgnivaS,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
,Units of measurement,,,#,,,#,,,#,,,#,,,€,,,€,,,#,,€,,€,,,m²,,€,,,,,,,,,,
2014 2016,‘Energy saving/ Upgrading in Business,,,165,,,132,,,132,,,118,,,8.700.000,,,17.400.000,,,115,,7.226.075,,14.452.150,,,**,,**,,,kWh year**,,,,1 000 k €in W ve h stment ' yea * r *,,kWh m ·year |**,
2015 2016,"""Energy Saving / Upgrading in Residences"" (1st Call)",K,,918,,,814,,,814,,,718,,,7.473.971,,,7.649.274,,,762,,6.372.682,,6.522.154,,,157,,17.373,,,48.637,,,,2.800,,310,
,,NZEB,,102,,,87,,,87,,,76,,,1.824.113,,,829.634,,,76,,1.583.597,,720.243,,,175,,30.503,,,71.734,,,,2.352,,410,
,,JRC,,49,,,48,,,45,,,45,,,532.301,,,208.056,,,45,,480.713,,187.892,,,139,,14.243,,,43.614,,,,3.062,,313,
,,Categ,,10,,,10,,,59,,,59,,,426.440,,,331.629,,,10,,303.712,,236.187,,,516,,53.990,,,681.374,,,,12.620,,1.321,
,,RC Total,,1.079,,,959,,,1.005,,,898,,,10.256.825,,,9.018.593,,,893,,8.740.704,,7.666.476,,,N/A,,N/A,,,N/A,,,,,,,
2018,"""Energy Saving / Upgrading in Residences"" (2nd Call)",K,,1.061,,,1.002,,,1.002,,,807,,,9.823.843,,,10.482.442,,,807,,6.936.228,,7.438.646,,,150,,18.178,,,50.673,,,,2.788,,338,
,,NZEB,,75,,,71,,,71,,,55,,,1.374.145,,,1.432.176,,,55,,990.380,,1.032.204,,,203,,39.526,,,76.165,,,,1.927,,376,
,,JRC,,88,,,80,,,80,,,65,,,872.164,,,486.533,,,65,,672.588,,213.722,,,144,,13.797,,,39.298,,,,2.848,,274,
,,Categ,,6,,,3,,,22,,,22,,,167.716,,,167.715,,,2,,161.959,,161.958,,,1.140,,54.366,,,114.381,,,,2.104,,100,
,,RC Total,,1.230,,,1.156,,,1.175,,,949,,,12.237.868,,,12.568.866,,,929,,8.761.155,,8.846.530,,,N/A,,N/A,,,N/A,,,,,,,
2021,"""Saving - Upgrading in Residences"" (1st Call)",K,,1.931,,,1.925,,,1.925,,,919,,,33.373.454,,,17.388.632,,,919,,13.093.005,,6.821.872,,,155,,28.494,,,50.280,,,,1.765,,323,
,,NZEB,,136,,,135,,,135,,,56,,,3.944.729,,,2.296.922,,,56,,1.303.760,,759.148,,,206,,46.563,,,78.866,,,,1.694,,383,
,,JRC,,91,,,90,,,90,,,44,,,1.856.032,,,520.311,,,44,,787.280,,220.702,,,157,,35.785,,,51.911,,,,1.451,,332,
,,Categ,,7,,,7,,,65,,,65,,,750.543,,,321.662,,,2,,116.886,,50.094,,,1.043,,83.490,,,198.047,,,,2.372,,190,
,,RC Total,,2.165,,,2.157,,,2.215,,,1.084,,,39.924.758,,,20.527.527,,,1.021,,15.300.931,,7.851.816,,,N/A,,N/A,,,N/A,,,,,,,
2021,"""Saving - Upgrading the Houses of the British Bases"" (1st Call)",K,,35,,,16,,,16,,,9,,,279.140,,,172.144,,,9,,167.547,,103.325,,,171,,26.594,,,57.820,,,,2.174,,338,
,,NZEB,,1,,,-,,,-,,,-,,,-,,,-,,,-,,-,,-,,,-,,-,,,-,,,,,,,
,,JRC,,2,,,1,,,1,,,1,,,16.230,,,3.607,,,1,,16.230,,3.607,,,80,,23.186,,,28.622,,,,1.234,,356,
,,Categ,,-,,,-,,,-,,,-,,,-,,,-,,,-,,-,,-,,,-,,-,,,-,,,,,,,
,,RC Total,,38,,,17,,,17,,,10,,,295.370,,,175.751,,,10,,183.777,,106.932,,,N/A,,N/A,,,N/A,,,,**,,**,
2022,Saving - Upgrading in Businesses and Other Organizations,,,296,,,207,,,207,,,1,,,13.650.000,,,20.475.000,,,-,,-,,-,,,**,,**,,,**,,,,**,,**,
2023,"""Saving - Upgrading in Residences"" (2nd Call)",K,,1.951,,,**,,,**,,,-,,,**,,,**,,,-,,-,,-,,,**,,N/A,,,**,,,,**,,**,
,,NZEB,,476,,,**,,,**,,,-,,,**,,,**,,,-,,-,,-,,,**,,N/A,,,**,,,,**,,**,
,,JRC,,134,,,**,,,**,,,-,,,**,,,**,,,-,,-,,-,,,**,,N/A,,,**,,,,**,,**,
,,Categ,,13,,,**,,,**,,,-,,,**,,,**,,,-,,-,,-,,,**,,N/A,,,**,,,,**,,**,
,,RC Total,,2.574,,,2.239,,,**,,,-,,,45.862.757,,,N/A,,,**,,**,,**,,,**,,N/A,,,**,,,,**,,**,
